# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,power,alpha-inked,alpha-ink-percent,alpha-count,alpha-color,alpha-theme,bravo-inked,bravo-ink-percent,bravo-count,bravo-color,bravo-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities,medal1-grade,medal1-name,medal2-grade,medal2-name,medal3-grade,medal3-name,event
Chill Season 2022,2023-01-15T02:00:00+00:00,2.0.1,bankara_open,area,sumeshi,302,bravo,FALSE,S+ 0,,,,71,e38d24ff,,,,90,1a1aafff,,momiji,8,5,3,8,8,1689,"{""ink_saver_sub"":2.6,""sub_power_up"":1.3,""ink_recovery_up"":0.9,""run_speed_up"":0.3,""special_charge_up"":0.3,""swim_speed_up"":0.3}",momiji,11,7,4,4,6,1528,"{""ink_recovery_up"":3.8,""ink_saver_sub"":1.9}",nzap85,10,4,6,6,3,1299,"{""ink_recovery_up"":1,""quick_super_jump"":1,""special_power_up"":1,""ink_resistance_up"":0.6,""ink_saver_sub"":0.6,""ink_saver_main"":0.3,""intensify_action"":0.3,""run_speed_up"":0.3,""sub_power_up"":0.3,""swim_speed_up"":0.3}",momiji,10,6,4,6,8,1504,"{""ink_saver_main"":2,""ink_recovery_up"":0.9,""ink_saver_sub"":0.9,""special_charge_up"":0.9,""comeback"":true}",sharp,12,9,3,6,6,2102,"{""ink_saver_main"":1.3,""swim_speed_up"":1.3,""ink_saver_sub"":0.6,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""special_saver"":0.3,""ninja_squid"":true}",momiji,9,5,4,5,7,1445,"{""swim_speed_up"":1.9,""ink_saver_sub"":1,""ink_saver_main"":0.6,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""special_saver"":0.3,""ninja_squid"":true}",52gal,6,5,1,4,6,1342,"{""ink_saver_sub"":1.3,""quick_respawn"":1,""quick_super_jump"":0.3,""run_speed_up"":0.3,""stealth_jump"":true}",splatroller,6,5,1,7,4,974,"{""swim_speed_up"":2.9,""sub_power_up"":0.6,""intensify_action"":0.3,""quick_respawn"":0.3,""special_saver"":0.3,""ninja_squid"":true}",gold,#1 Turf Inker,gold,#1 Splat Zone Guard,,,
Chill Season 2022,2023-01-15T02:00:00+00:00,2.0.1,bankara_open,area,gonzui,105,alpha,TRUE,S+ 0,,,,100,cd510aff,,,,0,6e04b6ff,,momiji,4,2,2,3,1,533,"{""ink_saver_sub"":2.6,""sub_power_up"":1.3,""ink_recovery_up"":0.9,""run_speed_up"":0.3,""special_charge_up"":0.3,""swim_speed_up"":0.3}",wakaba,5,5,0,1,2,523,"{""ink_recovery_up"":2,""ink_saver_sub"":1,""ink_saver_main"":0.3,""quick_respawn"":0.3,""special_charge_up"":0.3,""swim_speed_up"":0.3}",nzap85,3,3,0,2,1,477,"{""run_speed_up"":3.9}",hydra,4,3,1,0,2,449,"{""ink_recovery_up"":1,""run_speed_up"":1,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""intensify_action"":0.3,""special_saver"":0.3,""tenacity"":true}",prime_collabo,3,3,0,3,2,304,"{""ink_saver_main"":1,""intensify_action"":1,""special_charge_up"":1,""ink_recovery_up"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3}",screwslosher,1,0,1,3,1,349,"{""swim_speed_up"":1.5,""ink_recovery_up"":0.6,""intensify_action"":0.3,""quick_respawn"":0.3,""last_ditch_effort"":true,""ninja_squid"":true,""stealth_jump"":true}",wakaba,2,1,1,3,2,598,"{""ink_recovery_up"":2,""special_saver"":1,""ink_saver_main"":0.6,""ink_saver_sub"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""special_charge_up"":0.3,""swim_speed_up"":0.3}",promodeler_rg,2,2,0,4,2,545,"{""ink_saver_sub"":1.6,""ink_saver_main"":0.3,""intensify_action"":0.3,""quick_respawn"":0.3,""sub_resistance_up"":0.3,""drop_roller"":true,""haunt"":true}",gold,#1 Turf Inker,gold,#1 Splat Assister,silver,#1 Wave Breaker User,
Chill Season 2022,2023-01-15T04:00:00+00:00,2.0.1,bankara_open,yagura,masaba,300,alpha,FALSE,S,,,,92,1a1aafff,,,,8,e38d24ff,,momiji,18,14,4,5,4,944,"{""ink_saver_sub"":1.6,""quick_super_jump"":0.6,""swim_speed_up"":0.6,""intensify_action"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",explosher,18,8,10,5,4,1043,"{""ink_saver_main"":2,""ink_resistance_up"":1.2,""intensify_action"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""respawn_punisher"":true}",screwslosher,13,10,3,4,5,1002,"{""run_speed_up"":0.9,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""last_ditch_effort"":true,""ninja_squid"":true,""stealth_jump"":true}",squiclean_a,12,10,2,7,4,894,"{""swim_speed_up"":2.9,""run_speed_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""special_charge_up"":0.3,""ninja_squid"":true}",carbon_deco,8,7,1,9,1,1121,"{""swim_speed_up"":2.3,""ink_recovery_up"":0.6,""ninja_squid"":true}",liter4k,5,5,0,8,2,701,"{""run_speed_up"":1.9,""swim_speed_up"":1.6,""quick_respawn"":0.6,""ink_recovery_up"":0.3,""special_charge_up"":0.3,""ninja_squid"":true}",carbon_deco,5,5,0,12,1,636,"{""swim_speed_up"":1.6,""quick_respawn"":0.9,""special_charge_up"":0.9,""ink_saver_sub"":0.3,""comeback"":true,""ninja_squid"":true}",carbon_deco,4,4,0,13,1,779,"{""quick_respawn"":1.9,""swim_speed_up"":1.5,""sub_resistance_up"":0.3,""ninja_squid"":true,""opening_gambit"":true}",gold,#1 Overall Splatter,gold,Record-Score Setter,gold,#1 Score Booster,
Chill Season 2022,2023-01-15T04:00:00+00:00,2.0.1,bankara_challenge,asari,kusaya,300,bravo,FALSE,S,,,,29,cd510aff,,,,57,6e04b6ff,,pablo,12,8,4,7,4,1031,"{""swim_speed_up"":2.1,""special_charge_up"":1,""quick_super_jump"":0.3,""special_saver"":0.3,""ninja_squid"":true,""stealth_jump"":true}",screwslosher,11,9,2,7,1,1149,"{""quick_respawn"":1,""ink_saver_sub"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""intensify_action"":0.3,""special_charge_up"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",liter4k,10,9,1,5,3,807,"{""ink_saver_main"":2.2,""ink_recovery_up"":1.3,""quick_super_jump"":1.3,""ink_resistance_up"":0.3,""sub_power_up"":0.3}",wakaba,7,4,3,5,1,1314,"{""ink_saver_sub"":2.3,""ink_resistance_up"":0.6,""run_speed_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_power_up"":0.3,""swim_speed_up"":0.3,""stealth_jump"":true}",momiji,12,9,3,6,5,1679,"{""swim_speed_up"":1.9,""ink_saver_sub"":1,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true}",pablo,4,4,0,9,1,527,"{""ink_recovery_up"":1.9,""ink_resistance_up"":1,""quick_super_jump"":1,""run_speed_up"":0.9}",quadhopper_black,8,7,1,8,2,1327,"{""quick_respawn"":2.6,""special_charge_up"":1,""swim_speed_up"":0.6}",52gal,6,4,2,8,3,956,"{""ink_saver_sub"":1.3,""special_power_up"":1.3,""special_saver"":0.9,""swim_speed_up"":0.9,""special_charge_up"":0.3,""stealth_jump"":true}",gold,#1 Overall Splatter,gold,#1 Splat Assister,gold,#1 Clam Carrier,
Chill Season 2022,2023-01-15T04:00:00+00:00,2.0.1,bankara_challenge,asari,namero,300,alpha,FALSE,S,,,,30,3a0ccdff,,,,20,d0bf08ff,,pablo,8,7,1,5,4,890,"{""swim_speed_up"":2.1,""special_charge_up"":1,""quick_super_jump"":0.3,""special_saver"":0.3,""ninja_squid"":true,""stealth_jump"":true}",bottlegeyser,9,8,1,6,3,846,"{""swim_speed_up"":2.8,""ink_saver_sub"":1.9,""ink_recovery_up"":1}",sharp,8,7,1,6,2,947,"{""ink_resistance_up"":1.3,""special_charge_up"":1.3,""intensify_action"":1.2,""ink_saver_sub"":0.3,""special_power_up"":0.3,""object_shredder"":true}",sputtery_hue,8,6,2,8,3,1052,"{""ink_saver_main"":1.9,""special_power_up"":1.9,""special_saver"":1.9}",sshooter_collabo,9,5,4,6,3,1214,"{""swim_speed_up"":2.6,""intensify_action"":1.5,""ink_recovery_up"":0.6,""ninja_squid"":true}",sputtery,13,10,3,8,0,772,"{""ink_saver_main"":1.3,""swim_speed_up"":1.3,""ink_saver_sub"":1,""special_power_up"":0.6,""quick_respawn"":0.3,""run_speed_up"":0.3,""sub_resistance_up"":0.3}",wideroller,7,6,1,6,4,1025,"{""special_charge_up"":1,""sub_resistance_up"":1,""respawn_punisher"":true}",splatroller,7,4,3,8,0,744,"{""swim_speed_up"":1.9,""quick_respawn"":1,""ink_saver_sub"":0.6,""ink_resistance_up"":0.3,""special_charge_up"":0.3,""stealth_jump"":true}",gold,#1 Score Booster,silver,#1 Clam Stopper,gold,#1 Clam Carrier,
Chill Season 2022,2023-01-15T04:00:00+00:00,2.0.1,bankara_challenge,asari,namero,316,alpha,FALSE,S,,,,79,cd510aff,,,,50,6e04b6ff,,pablo,14,13,1,5,5,1046,"{""swim_speed_up"":2.1,""special_charge_up"":1,""quick_super_jump"":0.3,""special_saver"":0.3,""ninja_squid"":true,""stealth_jump"":true}",clashblaster,20,16,4,8,2,929,"{""quick_super_jump"":1.3,""special_charge_up"":1,""special_power_up"":1,""ink_saver_main"":0.9,""ink_recovery_up"":0.6,""sub_resistance_up"":0.6,""special_saver"":0.3}",52gal,6,5,1,6,4,1272,"{""swim_speed_up"":2,""sub_resistance_up"":0.9,""intensify_action"":0.6,""ink_recovery_up"":0.3,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""ninja_squid"":true}",sshooter_collabo,9,7,2,6,2,1033,"{""swim_speed_up"":1.3,""intensify_action"":0.9,""ink_resistance_up"":0.6,""sub_resistance_up"":0.6,""quick_super_jump"":0.3,""ninja_squid"":true,""stealth_jump"":true}",52gal,9,8,1,10,2,1200,"{""swim_speed_up"":2.9,""sub_resistance_up"":0.9,""quick_respawn"":0.6,""ink_resistance_up"":0.3,""ninja_squid"":true}",wakaba,9,5,4,11,1,1104,"{""ink_saver_sub"":2.3,""ink_saver_main"":1.3,""special_charge_up"":1.2,""ink_recovery_up"":0.6,""quick_super_jump"":0.3}",pablo,5,5,0,10,1,619,"{""special_charge_up"":1.9,""ink_saver_sub"":0.9,""ink_resistance_up"":0.6,""swim_speed_up"":0.3,""drop_roller"":true,""last_ditch_effort"":true}",sshooter_collabo,7,7,0,11,2,1188,"{""ink_saver_main"":1.9,""special_power_up"":1,""ink_saver_sub"":0.6,""run_speed_up"":0.6,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true}",gold,#1 Super Jump Spot,silver,#1 Clam Stopper,gold,#1 Clam Carrier,
Chill Season 2022,2023-01-15T04:00:00+00:00,2.0.1,bankara_challenge,asari,namero,329,bravo,FALSE,S,,,,35,d74b31ff,,,,82,1ec0adff,,pablo,6,4,2,10,5,839,"{""swim_speed_up"":2.1,""special_charge_up"":1,""quick_super_jump"":0.3,""special_saver"":0.3,""ninja_squid"":true,""stealth_jump"":true}",nzap85,13,10,3,7,3,1408,"{""run_speed_up"":1.6,""ink_saver_sub"":1.3,""ink_resistance_up"":0.6,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true}",clashblaster,11,8,3,14,0,611,"{""quick_super_jump"":1.3,""special_charge_up"":1,""special_power_up"":1,""ink_saver_main"":0.9,""ink_recovery_up"":0.6,""sub_resistance_up"":0.6,""special_saver"":0.3}",52gal,5,3,2,11,3,1071,"{""swim_speed_up"":2,""sub_resistance_up"":0.9,""intensify_action"":0.6,""ink_recovery_up"":0.3,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""ninja_squid"":true}",hydra,25,22,3,4,8,1587,"{""special_charge_up"":4.5,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""quick_respawn"":0.3,""sub_resistance_up"":0.3}",pablo,5,4,1,6,2,564,"{""run_speed_up"":2.6,""ink_saver_sub"":1.2,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""special_saver"":0.3,""ninja_squid"":true}",52gal,10,5,5,8,3,670,"{""swim_speed_up"":1.3,""intensify_action"":1.2,""ink_saver_main"":1,""special_charge_up"":1,""run_speed_up"":0.6,""quick_respawn"":0.3,""sub_power_up"":0.3}",sshooter_collabo,14,11,3,7,3,1154,"{""sub_power_up"":1,""ink_saver_sub"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""intensify_action"":0.3,""quick_respawn"":0.3,""swim_speed_up"":0.3,""comeback"":true,""ninja_squid"":true}",silver,#1 Ground Traveler,silver,#1 Damage Taker,silver,#1 Killer Wail 5.1 User,
Chill Season 2022,2023-01-15T04:00:00+00:00,2.0.1,bankara_challenge,asari,namero,320,bravo,FALSE,S,,,,30,1ec0adff,,,,52,d74b31ff,,pablo,11,7,4,8,4,973,"{""swim_speed_up"":2.1,""special_charge_up"":1,""quick_super_jump"":0.3,""special_saver"":0.3,""ninja_squid"":true,""stealth_jump"":true}",prime_collabo,10,9,1,7,3,1072,"{""ink_saver_main"":1,""ink_saver_sub"":1,""swim_speed_up"":1,""special_charge_up"":0.9,""special_power_up"":0.9,""sub_resistance_up"":0.6,""quick_respawn"":0.3}",sputtery,16,13,3,12,2,1065,"{""quick_respawn"":1.6,""swim_speed_up"":1.2,""intensify_action"":0.6,""quick_super_jump"":0.3,""comeback"":true,""stealth_jump"":true}",momiji,12,6,6,11,3,898,"{""special_saver"":2,""run_speed_up"":1.8,""sub_power_up"":1,""swim_speed_up"":0.6,""ink_saver_main"":0.3}",sshooter,14,10,4,6,3,1158,"{""swim_speed_up"":1.6,""intensify_action"":0.6,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""special_saver"":0.3,""ninja_squid"":true,""stealth_jump"":true}",sshooter,13,13,0,9,2,982,"{""swim_speed_up"":2,""sub_resistance_up"":0.9,""quick_respawn"":0.6,""run_speed_up"":0.6,""ink_saver_main"":0.3,""special_charge_up"":0.3,""ninja_squid"":true}",quadhopper_black,11,6,5,11,1,885,"{""ink_saver_main"":2.2,""quick_respawn"":1,""sub_resistance_up"":0.6,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""special_power_up"":0.3,""last_ditch_effort"":true}",squiclean_a,9,9,0,9,2,847,"{""swim_speed_up"":1.9,""ink_saver_main"":1.3,""intensify_action"":0.3,""quick_respawn"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""comeback"":true}",silver,#1 Ground Traveler,gold,#1 Score Booster,gold,#1 Clam Carrier,
Chill Season 2022,2023-01-15T04:00:00+00:00,2.0.1,bankara_open,yagura,kinmedai,108,bravo,TRUE,S,,,,0,cd510aff,,,,100,6e04b6ff,,pablo,0,0,0,4,1,332,"{""swim_speed_up"":2.1,""special_charge_up"":1,""quick_super_jump"":0.3,""special_saver"":0.3,""ninja_squid"":true,""stealth_jump"":true}",squiclean_a,4,4,0,2,1,391,"{""ink_resistance_up"":1.6,""swim_speed_up"":1,""ink_saver_sub"":0.6,""intensify_action"":0.6,""run_speed_up"":0.3,""sub_power_up"":0.3,""stealth_jump"":true}",hydra,2,1,1,2,1,358,"{""run_speed_up"":3.2,""ink_resistance_up"":1.3,""ink_saver_main"":0.6,""ink_recovery_up"":0.3,""intensify_action"":0.3}",screwslosher,2,1,1,5,0,332,"{""ink_resistance_up"":1.6,""ink_recovery_up"":1.3,""ink_saver_main"":0.3,""sub_power_up"":0.3,""swim_speed_up"":0.3,""ninja_squid"":true}",hotblaster,5,4,1,1,1,398,"{""intensify_action"":2.6,""quick_super_jump"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""run_speed_up"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true}",sputtery,5,4,1,2,1,482,"{""quick_respawn"":1.9,""sub_power_up"":1.6,""ink_recovery_up"":1,""swim_speed_up"":0.6,""ink_saver_main"":0.3,""special_saver"":0.3}",squiclean_a,3,3,0,0,1,440,"{""quick_respawn"":1.2,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""sub_power_up"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",sshooter_collabo,2,2,0,3,1,312,"{""run_speed_up"":2.3,""ink_saver_main"":0.6,""ink_recovery_up"":0.3,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""swim_speed_up"":0.3,""ninja_squid"":true}",silver,#1 Ground Traveler,silver,#1 Killer Wail 5.1 User,,,
Chill Season 2022,2023-01-15T04:00:00+00:00,2.0.1,bankara_open,yagura,masaba,171,bravo,TRUE,S,,,,0,cd510aff,,,,100,6e04b6ff,,pablo,4,2,2,4,4,581,"{""quick_respawn"":3.1,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",kugelschreiber,7,7,0,6,1,538,"{""ink_recovery_up"":2.3,""ink_saver_main"":1.3,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3}",sharp,6,5,1,8,1,582,"{""special_saver"":1.3,""ink_saver_sub"":1,""quick_respawn"":1,""special_charge_up"":0.6,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""run_speed_up"":0.3}",liter4k,3,1,2,3,2,406,"{""ink_saver_main"":2.8,""quick_super_jump"":1,""respawn_punisher"":true}",sputtery_hue,9,8,1,7,1,702,"{""quick_respawn"":1.9,""quick_super_jump"":0.9,""swim_speed_up"":0.9,""comeback"":true,""stealth_jump"":true}",clashblaster,8,7,1,4,1,388,"{""sub_resistance_up"":1.3,""quick_super_jump"":1,""run_speed_up"":1,""ink_resistance_up"":0.3,""special_saver"":0.3,""sub_power_up"":0.3,""swim_speed_up"":0.3}",barrelspinner,6,2,4,2,2,666,"{""run_speed_up"":2.3,""ink_resistance_up"":1.3,""ink_saver_main"":0.9,""sub_resistance_up"":0.6,""intensify_action"":0.3,""quick_super_jump"":0.3}",pablo_hue,6,4,2,2,3,597,"{""swim_speed_up"":2.9,""run_speed_up"":0.9,""special_saver"":0.3,""ninja_squid"":true}",gold,#1 Splat Assister,gold,#1 Super Jump Spot,gold,Record-Score Setter,
