# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,power,alpha-inked,alpha-ink-percent,alpha-count,alpha-color,alpha-theme,bravo-inked,bravo-ink-percent,bravo-count,bravo-color,bravo-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities,medal1-grade,medal1-name,medal2-grade,medal2-name,medal3-grade,medal3-name,event
Chill Season 2023,2023-12-09T00:00:00+00:00,6.0.1,event,nawabari,yunohana,180,alpha,,,,3350,53.5,,df6624ff,,3339,37.8,,343bc4ff,,hissen,7,6,1,2,2,814,"{""quick_respawn"":3.5,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",jetsweeper_custom,3,2,1,1,3,1024,"{""ink_recovery_up"":1.3,""ink_saver_main"":1,""run_speed_up"":1,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3}",dynamo,10,9,1,2,2,869,"{""ink_saver_main"":3.8,""swim_speed_up"":0.9,""respawn_punisher"":true}",parashelter_sorella,9,8,1,1,2,643,"{""run_speed_up"":1.3,""swim_speed_up"":1.3,""special_charge_up"":1,""ink_saver_main"":0.6,""special_saver"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3}",furo,4,4,0,6,3,1023,"{""ink_saver_main"":1.3,""special_power_up"":1,""special_saver"":1,""quick_respawn"":0.6,""run_speed_up"":0.6,""ink_recovery_up"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""sub_power_up"":0.3}",furo,0,0,0,6,2,859,"{""run_speed_up"":1.3,""swim_speed_up"":1.3,""ink_recovery_up"":1,""ink_saver_sub"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""special_saver"":0.3}",sharp_neo,1,0,1,7,1,743,"{""swim_speed_up"":1.9,""intensify_action"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",bold_neo,3,2,1,6,2,714,"{""swim_speed_up"":1.9,""run_speed_up"":1,""sub_power_up"":1,""quick_super_jump"":0.9,""ink_recovery_up"":0.3,""intensify_action"":0.3,""special_power_up"":0.3}",gold,#1 Splat Assister,silver,#1 Ground Traveler,gold,#1 Enemy-Base Inker,Oh My Gush
Chill Season 2023,2023-12-09T00:00:00+00:00,6.0.1,event,nawabari,gonzui,180,bravo,,,,2601,24.3,,1bbfabff,,3392,66.2,,c43a6eff,,hissen,4,4,0,7,1,700,"{""quick_respawn"":3.5,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",splatcharger,2,1,1,5,1,675,"{""ink_saver_sub"":1.9,""ink_saver_main"":1.6,""ink_recovery_up"":1.3,""quick_respawn"":0.3,""special_power_up"":0.3,""sub_power_up"":0.3}",parashelter_sorella,2,1,1,6,1,627,"{""run_speed_up"":1.3,""swim_speed_up"":1.3,""special_charge_up"":1,""ink_saver_main"":0.6,""special_saver"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3}",maneuver_collabo,1,0,1,5,1,599,"{""swim_speed_up"":1.6,""special_saver"":1,""intensify_action"":0.9,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""ninja_squid"":true}",sshooter_collabo,11,7,4,1,3,927,"{""ink_saver_main"":1,""ink_recovery_up"":0.9,""ink_resistance_up"":0.9,""swim_speed_up"":0.9,""object_shredder"":true,""tenacity"":true}",pablo,9,3,6,1,4,844,"{""special_power_up"":1.9,""quick_super_jump"":1.3,""special_charge_up"":0.9,""ink_saver_main"":0.6,""drop_roller"":true}",hotblaster_custom,10,9,1,0,3,828,"{""intensify_action"":2.6,""sub_resistance_up"":0.9,""ink_resistance_up"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""respawn_punisher"":true}",dynamo,7,4,3,4,3,793,"{""ink_saver_main"":2,""special_charge_up"":1,""ink_saver_sub"":0.9,""intensify_action"":0.9,""swim_speed_up"":0.6,""ink_recovery_up"":0.3}",gold,#1 Overall Splatter,gold,#1 Enemy Splatter,gold,#1 Turf Inker,Oh My Gush
Chill Season 2023,2023-12-09T00:00:00+00:00,6.0.1,event,nawabari,gonzui,180,alpha,,,,3574,60.8,,1ec0adff,,3200,31.7,,d74b31ff,,drivewiper,5,5,0,4,2,882,"{""quick_respawn"":1.9,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",momiji,4,2,2,1,3,1410,"{""swim_speed_up"":3.8,""quick_super_jump"":0.6,""intensify_action"":0.3,""ninja_squid"":true}",screwslosher_neo,9,5,4,4,2,722,"{""run_speed_up"":1.3,""swim_speed_up"":0.9,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",longblaster,5,5,0,6,1,560,"{""quick_respawn"":1.5,""intensify_action"":1.3,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",sshooter,7,6,1,4,4,888,"{""swim_speed_up"":2.2,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",tristringer_collabo,3,1,2,2,1,888,"{""ink_saver_main"":3.8,""ink_recovery_up"":1.9}",sshooter_collabo,7,6,1,5,2,776,"{""quick_respawn"":1.6,""special_saver"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",nautilus47,5,2,3,6,1,648,"{""swim_speed_up"":1.3,""ink_resistance_up"":1,""run_speed_up"":0.9,""ink_saver_main"":0.6,""ink_saver_sub"":0.6,""special_power_up"":0.3,""object_shredder"":true}",gold,#1 Enemy Splatter,silver,#1 Damage Taker,gold,#1 Enemy-Base Inker,Oh My Gush
Chill Season 2023,2023-12-09T00:00:00+00:00,6.0.1,event,nawabari,gonzui,180,bravo,,,,2927,34.6,,d0bf08ff,,3411,53.6,,3a0ccdff,,drivewiper,2,2,0,4,1,651,"{""quick_respawn"":1.9,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",52gal,2,2,0,2,3,1049,"{""quick_respawn"":1,""swim_speed_up"":1,""special_saver"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",fincent_hue,1,1,0,1,2,778,"{""ink_recovery_up"":1.6,""swim_speed_up"":1.2,""ink_saver_main"":1,""run_speed_up"":0.6,""ink_saver_sub"":0.3,""ninja_squid"":true}",bottlegeyser_foil,3,3,0,6,0,449,"{""run_speed_up"":1,""ink_resistance_up"":0.6,""swim_speed_up"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true,""thermal_ink"":true}",promodeler_mg,4,4,0,5,3,1127,"{""quick_respawn"":3.8,""quick_super_jump"":0.9,""stealth_jump"":true}",jimuwiper_hue,5,1,4,0,2,861,"{""swim_speed_up"":1,""quick_respawn"":0.3,""special_charge_up"":0.3,""sub_power_up"":0.3,""comeback"":true,""haunt"":true}",tristringer,4,3,1,1,3,748,"{""ink_recovery_up"":1.9,""swim_speed_up"":1.9,""run_speed_up"":0.9,""object_shredder"":true}",squiclean_a,7,5,2,2,2,675,"{""swim_speed_up"":2,""run_speed_up"":0.9,""ink_saver_main"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",gold,#1 Super Jump Spot,gold,#1 Popular Target,gold,#1 Enemy-Base Inker,Oh My Gush
Chill Season 2023,2023-12-09T00:00:00+00:00,6.0.1,event,nawabari,gonzui,180,bravo,,,1735.2,3529,34.3,,6e04b6ff,,3798,56.0,,cd510aff,,explosher,3,2,1,4,2,881,"{""ink_saver_main"":2.6,""swim_speed_up"":1.3,""ink_resistance_up"":0.6,""ink_recovery_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3}",pablo,4,3,1,4,3,1016,"{""ink_recovery_up"":1.3,""ink_saver_sub"":1.3,""ink_saver_main"":0.6,""sub_resistance_up"":0.6,""swim_speed_up"":0.6,""run_speed_up"":0.3,""drop_roller"":true}",nzap85,1,1,0,7,3,846,"{""special_charge_up"":1,""run_speed_up"":0.6,""special_power_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",hissen_hue,3,3,0,8,2,786,"{""swim_speed_up"":1.3,""quick_respawn"":1,""special_saver"":1,""ink_saver_main"":0.9,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3}",nautilus47,13,9,4,0,4,1093,"{""run_speed_up"":1.9,""swim_speed_up"":1.9,""ink_resistance_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""object_shredder"":true}",maneuver_collabo,2,1,1,3,3,1016,"{""special_power_up"":3.5,""ink_saver_main"":1.6,""intensify_action"":0.3,""quick_super_jump"":0.3}",nzap89,2,1,1,4,2,862,"{""ink_recovery_up"":1.3,""ink_resistance_up"":1,""swim_speed_up"":0.9,""run_speed_up"":0.6,""ink_saver_sub"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true}",clashblaster,15,12,3,2,3,827,"{""swim_speed_up"":1.3,""intensify_action"":1,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""haunt"":true}",gold,#1 Splat Assister,gold,#1 Super Jump Spot,gold,#1 Home-Base Inker,Oh My Gush
Chill Season 2023,2023-12-09T00:00:00+00:00,6.0.1,event,nawabari,yunohana,180,alpha,,,1765.8,3507,58.9,,3a0ccdff,,3350,32.0,,d0bf08ff,,sharp_neo,4,4,0,5,1,771,"{""swim_speed_up"":1.2,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""ninja_squid"":true,""stealth_jump"":true}",jetsweeper_custom,8,4,4,0,4,1095,"{""ink_saver_main"":1.6,""ink_saver_sub"":1.3,""quick_respawn"":0.6,""special_charge_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""last_ditch_effort"":true}",nautilus47,7,2,5,2,3,945,"{""ink_saver_main"":2,""special_saver"":1.3,""run_speed_up"":0.9,""ink_recovery_up"":0.3,""intensify_action"":0.3,""special_charge_up"":0.3,""sub_power_up"":0.3,""swim_speed_up"":0.3}",jimuwiper,9,8,1,5,2,696,"{""swim_speed_up"":1.6,""special_power_up"":0.6,""sub_power_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",lact450_deco,1,1,0,5,3,1306,"{""ink_recovery_up"":1,""ink_saver_main"":1,""ink_saver_sub"":1}",lact450_deco,5,5,0,3,2,903,"{""quick_respawn"":2.3,""ink_recovery_up"":0.6,""special_charge_up"":0.6,""swim_speed_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true}",hydra,6,6,0,4,1,634,"{""run_speed_up"":1.3,""ink_saver_sub"":1,""swim_speed_up"":0.9,""ink_saver_main"":0.6,""ink_resistance_up"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""stealth_jump"":true}",splatroller_collabo,2,0,2,6,1,507,"{""swim_speed_up"":1.9,""sub_power_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",silver,#1 Ground Traveler,silver,First Splat!,silver,#1 Triple Inkstrike User,Oh My Gush
Chill Season 2023,2023-12-09T00:00:00+00:00,6.0.1,event,nawabari,gonzui,180,alpha,,,1770.9,3766,59.3,,d0bf08ff,,3183,28.3,,3a0ccdff,,sharp_neo,6,4,2,4,2,902,"{""swim_speed_up"":1.2,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""ninja_squid"":true,""stealth_jump"":true}",nzap85,6,6,0,2,3,1030,"{""ink_saver_main"":1.3,""sub_power_up"":0.9,""intensify_action"":0.3,""quick_respawn"":0.3,""run_speed_up"":0.3,""special_power_up"":0.3,""sub_resistance_up"":0.3,""drop_roller"":true,""thermal_ink"":true}",moprin,8,7,1,6,2,956,"{""ink_saver_main"":1,""special_power_up"":1,""sub_resistance_up"":1}",jimuwiper,8,5,3,4,2,878,"{""swim_speed_up"":1.6,""special_power_up"":0.6,""sub_power_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",screwslosher,7,7,0,4,2,885,"{""intensify_action"":1.3,""quick_super_jump"":1,""special_power_up"":1,""run_speed_up"":0.6,""ink_saver_sub"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3}",sshooter_collabo,5,5,0,6,1,857,"{""ink_recovery_up"":1.9,""swim_speed_up"":1.3,""ink_saver_sub"":1,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3}",maneuver_collabo,3,2,1,6,2,840,"{""ink_recovery_up"":1.3,""special_charge_up"":1.3,""sub_resistance_up"":1,""ink_saver_main"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_saver"":0.3,""swim_speed_up"":0.3}",hissen,3,2,1,6,2,601,"{""swim_speed_up"":2.2,""intensify_action"":1.3,""ink_saver_main"":0.6,""quick_respawn"":0.6,""haunt"":true}",gold,#1 Super Jump Spot,silver,#1 Ground Traveler,silver,First Splat!,Oh My Gush
Chill Season 2023,2023-12-09T00:00:00+00:00,6.0.1,event,nawabari,yunohana,180,alpha,,,1779.3,3037,50.9,,d0bf08ff,,2809,32.5,,3a0ccdff,,sharp_neo,4,2,2,3,3,1119,"{""swim_speed_up"":1.2,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""ninja_squid"":true,""stealth_jump"":true}",jimuwiper,5,4,1,3,2,715,"{""swim_speed_up"":1.6,""special_power_up"":0.6,""sub_power_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",longblaster,13,9,4,4,1,618,"{""quick_respawn"":2.6,""intensify_action"":0.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",sshooter,6,5,1,3,2,585,"{""quick_respawn"":1.3,""ink_recovery_up"":1,""ink_saver_main"":0.9,""swim_speed_up"":0.9,""intensify_action"":0.6,""drop_roller"":true}",nautilus47,4,2,2,2,3,991,"{""sub_power_up"":1.6,""ink_saver_main"":1.3,""quick_super_jump"":1,""ink_saver_sub"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""run_speed_up"":0.3,""swim_speed_up"":0.3}",heroshooter_replica,7,6,1,6,1,644,"{""ink_resistance_up"":1,""swim_speed_up"":1,""quick_respawn"":0.9,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""respawn_punisher"":true}",jimuwiper_hue,4,1,3,6,1,592,"{""quick_respawn"":1.9,""ink_saver_main"":1.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""stealth_jump"":true}",hotblaster_custom,5,4,1,6,1,582,"{""quick_respawn"":1.9,""special_charge_up"":1,""ink_saver_main"":0.6,""ink_recovery_up"":0.3,""run_speed_up"":0.3,""special_power_up"":0.3,""drop_roller"":true}",gold,#1 Super Jump Spot,gold,#1 Turf Inker,gold,#1 Home-Base Inker,Oh My Gush
Chill Season 2023,2023-12-09T02:00:00+00:00,6.0.1,xmatch,area,kinmedai,88,bravo,TRUE,,1505.4,1944,,0,1a1aafff,,1861,,100,e38d24ff,,explosher,0,0,0,3,1,444,"{""swim_speed_up"":2.2,""ink_saver_main"":1.3,""sub_resistance_up"":1.3,""ink_recovery_up"":0.3,""special_power_up"":0.3,""sub_power_up"":0.3}",sshooter,1,1,0,3,0,337,"{""ink_saver_sub"":1,""intensify_action"":1,""quick_super_jump"":0.6,""special_charge_up"":0.6,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""special_saver"":0.3,""stealth_jump"":true}",lact450,0,0,0,2,3,788,"{""special_charge_up"":1.9,""ink_recovery_up"":0.3,""intensify_action"":0.3,""comeback"":true,""ninja_squid"":true}",momiji,0,0,0,3,2,375,"{""swim_speed_up"":1.9,""ink_recovery_up"":1.6,""ink_saver_sub"":0.9,""ink_saver_main"":0.3,""ninja_squid"":true}",tristringer_collabo,5,4,1,0,2,567,"{""run_speed_up"":1,""swim_speed_up"":1,""ink_saver_main"":0.9,""ink_resistance_up"":0.6,""special_charge_up"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""haunt"":true}",momiji,3,2,1,1,1,459,"{""quick_respawn"":2.2,""ink_saver_sub"":1,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""ninja_squid"":true}",sshooter,4,4,0,0,2,442,"{""swim_speed_up"":2,""special_charge_up"":1.8,""quick_respawn"":0.9,""stealth_jump"":true}",prime_collabo,2,1,1,0,1,393,"{""special_power_up"":1,""swim_speed_up"":1,""ink_resistance_up"":0.6,""intensify_action"":0.6,""special_charge_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",gold,#1 Popular Target,gold,#1 Splat Zone Inker,silver,#1 Splat Zone Hero,
Chill Season 2023,2023-12-09T02:00:00+00:00,6.0.1,xmatch,area,namero,98,bravo,TRUE,,1505.4,1805,,0,cfb121ff,,1797,,100,9025c6ff,,explosher,2,1,1,2,2,496,"{""swim_speed_up"":2.2,""ink_saver_main"":1.3,""sub_resistance_up"":1.3,""ink_recovery_up"":0.3,""special_power_up"":0.3,""sub_power_up"":0.3}",maneuver,4,4,0,1,3,471,"{""quick_respawn"":1.9,""quick_super_jump"":0.6,""special_saver"":0.6,""ink_resistance_up"":0.3,""swim_speed_up"":0.3,""comeback"":true,""stealth_jump"":true}",momiji,1,0,1,3,1,426,"{""ink_saver_sub"":2.9,""sub_power_up"":1.3,""ink_recovery_up"":0.6,""ink_saver_main"":0.6,""ink_resistance_up"":0.3}",fincent_hue,1,1,0,4,2,412,"{""ink_saver_main"":1.9,""intensify_action"":1.3,""ink_recovery_up"":0.6,""special_saver"":0.6,""quick_respawn"":0.3,""thermal_ink"":true}",52gal,4,4,0,2,1,494,"{""swim_speed_up"":1.3,""intensify_action"":0.9,""run_speed_up"":0.6,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",nova_neo,4,4,0,3,1,419,"{""swim_speed_up"":3.2,""ink_recovery_up"":0.6,""special_saver"":0.6,""ink_saver_main"":0.3,""stealth_jump"":true}",hydra,0,0,0,0,2,467,"{""run_speed_up"":1.6,""ink_saver_main"":0.9,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""object_shredder"":true,""respawn_punisher"":true}",sshooter,2,2,0,1,1,417,"{""ink_saver_sub"":1,""intensify_action"":1,""quick_super_jump"":0.6,""special_charge_up"":0.6,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""special_saver"":0.3,""stealth_jump"":true}",gold,#1 Splat Assister,gold,#1 Turf Inker,gold,#1 Splat Zone Inker,
