# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,power,alpha-inked,alpha-ink-percent,alpha-count,alpha-color,alpha-theme,bravo-inked,bravo-ink-percent,bravo-count,bravo-color,bravo-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities,medal1-grade,medal1-name,medal2-grade,medal2-name,medal3-grade,medal3-name,event
Drizzle Season 2024,2024-09-22T04:00:00+00:00,9.1.0,regular,nawabari,baigai,180,bravo,,,,3413,37.1,,343bc4ff,,3580,53.5,,df6624ff,,soytuber,4,4,0,3,2,671,"{""swim_speed_up"":1.2,""special_charge_up"":1,""ink_resistance_up"":0.6,""sub_power_up"":0.6,""special_saver"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",promodeler_rg,0,0,0,2,3,1132,"{""swim_speed_up"":3.8,""ink_saver_main"":0.6,""special_power_up"":0.3,""ninja_squid"":true}",momiji,4,3,1,5,2,972,"{""ink_saver_sub"":3.6,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""swim_speed_up"":0.3}",52gal,6,5,1,6,2,638,"{""special_charge_up"":2.8,""special_power_up"":0.9,""drop_roller"":true,""ninja_squid"":true}",momiji,3,2,1,3,5,1333,"{""ink_saver_sub"":2.2,""special_charge_up"":2.2,""special_saver"":0.3,""opening_gambit"":true}",quadhopper_black,4,3,1,5,2,815,"{""swim_speed_up"":2.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""sub_power_up"":0.3,""comeback"":true}",nzap85,7,5,2,4,3,805,"{""ink_saver_main"":1.2,""ink_recovery_up"":1,""special_saver"":1,""quick_respawn"":0.3,""special_power_up"":0.3,""tenacity"":true}",splatcharger,7,6,1,0,2,627,"{""intensify_action"":1.9,""swim_speed_up"":1.2,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""drop_roller"":true,""ninja_squid"":true}",silver,#1 Ground Traveler,gold,#1 Popular Target,silver,#1 Base Defender,
Drizzle Season 2024,2024-09-22T04:00:00+00:00,9.1.0,regular,nawabari,kusaya,180,alpha,,,,2893,56.0,,6e04b6ff,,2487,31.4,,cd510aff,,soytuber,3,1,2,3,2,730,"{""swim_speed_up"":1.2,""special_charge_up"":1,""ink_resistance_up"":0.6,""sub_power_up"":0.6,""special_saver"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",quadhopper_black,11,8,3,5,3,908,"{""quick_respawn"":1.9,""quick_super_jump"":0.6,""intensify_action"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""comeback"":true,""stealth_jump"":true}",liter4k,13,12,1,0,2,671,"{""ink_saver_main"":1.9,""swim_speed_up"":1.9,""quick_super_jump"":1.3,""special_charge_up"":0.6}",liter4k,6,5,1,1,2,584,"{""quick_super_jump"":2.2,""ink_saver_main"":0.6,""special_power_up"":0.6,""ink_resistance_up"":0.3,""object_shredder"":true,""respawn_punisher"":true}",wakaba,1,0,1,5,0,713,"{""ink_saver_sub"":1,""ink_recovery_up"":0.6,""quick_respawn"":0.3,""special_charge_up"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""comeback"":true,""thermal_ink"":true}",squiclean_b,1,1,0,5,0,635,"{""ink_saver_main"":1.3,""special_charge_up"":1.3,""special_power_up"":0.9,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""tenacity"":true}",quadhopper_black,6,4,2,10,0,630,"{""quick_respawn"":4.8,""quick_super_jump"":0.9}",nova,6,4,2,6,1,509,"{""swim_speed_up"":1.5,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",silver,#1 Ground Traveler,silver,#1 Damage Taker,gold,#1 Home-Base Inker,
Drizzle Season 2024,2024-09-22T04:00:00+00:00,9.1.0,bankara_challenge,hoko,zatou,300,alpha,FALSE,S,,4292,,81,6e04b6ff,,4282,,76,cd510aff,,52gal,12,9,3,6,3,992,"{""swim_speed_up"":2.3,""sub_resistance_up"":0.6,""ink_saver_sub"":0.3,""intensify_action"":0.3,""special_saver"":0.3,""stealth_jump"":true}",nzap85,14,6,8,8,4,1306,"{""ink_saver_main"":2,""ink_saver_sub"":0.9,""intensify_action"":0.6,""sub_resistance_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""haunt"":true}",dentalwiper_mint,10,9,1,12,1,831,"{""swim_speed_up"":2.2,""quick_respawn"":1.6,""special_saver"":0.6,""quick_super_jump"":0.3,""stealth_jump"":true}",lact450_deco,8,7,1,9,4,1163,"{""swim_speed_up"":2.3,""ink_saver_sub"":0.6,""run_speed_up"":0.6,""ink_recovery_up"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""comeback"":true}",bold,15,13,2,9,5,1352,"{""ink_saver_main"":3.5,""sub_resistance_up"":0.9,""ink_recovery_up"":0.3,""ninja_squid"":true}",hotblaster_custom,13,10,3,8,3,906,"{""ink_saver_main"":1.9,""swim_speed_up"":1.6,""intensify_action"":0.9,""special_charge_up"":0.3,""stealth_jump"":true}",dynamo,11,10,1,7,3,972,"{""ink_recovery_up"":1,""ink_saver_main"":0.9,""swim_speed_up"":0.9,""quick_respawn"":0.6,""special_power_up"":0.3,""drop_roller"":true,""tenacity"":true}",hotblaster,3,2,1,7,3,1052,"{""ink_recovery_up"":1.9,""ink_saver_main"":1.9,""special_charge_up"":1.3,""special_saver"":0.6}",gold,#1 Enemy Splatter,gold,#1 Super Jump Spot,silver,#1 Rainmaker Stopper,
Drizzle Season 2024,2024-09-22T04:00:00+00:00,9.1.0,xmatch,yagura,nampla,322,bravo,FALSE,,1952.3,4623,,80,6e04b6ff,,4819,,95,cd510aff,,wakaba,9,5,4,9,5,1696,"{""ink_saver_sub"":2.6,""sub_power_up"":1.9,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3}",52gal,15,13,2,10,4,1204,"{""swim_speed_up"":1.9,""intensify_action"":0.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""opening_gambit"":true,""stealth_jump"":true}",liter4k_scope_custom,10,10,0,4,3,1177,"{""quick_super_jump"":1.2,""ink_resistance_up"":0.3,""run_speed_up"":0.3,""special_saver"":0.3,""last_ditch_effort"":true,""object_shredder"":true,""respawn_punisher"":true}",pablo_hue,9,6,3,13,1,546,"{""quick_respawn"":1.6,""quick_super_jump"":0.6,""special_charge_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",sputtery_hue,16,13,3,11,3,1071,"{""quick_respawn"":1.6,""ink_saver_sub"":0.9,""swim_speed_up"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",52gal,10,9,1,7,8,1491,"{""run_speed_up"":1,""swim_speed_up"":0.9,""ink_resistance_up"":0.6,""special_charge_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",liter4k,5,2,3,8,5,824,"{""special_power_up"":1.6,""ink_saver_main"":0.3,""intensify_action"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""respawn_punisher"":true,""stealth_jump"":true}",heroshooter_replica,15,12,3,8,5,1433,"{""special_charge_up"":1.3,""swim_speed_up"":0.9,""intensify_action"":0.6,""run_speed_up"":0.6,""quick_super_jump"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",gold,#1 Splat Assister,gold,#1 Popular Target,gold,#1 Turf Inker,
Drizzle Season 2024,2024-09-22T04:00:00+00:00,9.1.0,bankara_challenge,hoko,zatou,312,bravo,FALSE,S,,4311,,45,a0c937ff,,4441,,86,ba30b0ff,,52gal,13,12,1,10,7,1116,"{""swim_speed_up"":2.3,""sub_resistance_up"":0.6,""ink_saver_sub"":0.3,""intensify_action"":0.3,""special_saver"":0.3,""stealth_jump"":true}",nzap85,9,5,4,8,4,1522,"{""ink_saver_main"":2,""ink_saver_sub"":0.9,""intensify_action"":0.6,""sub_resistance_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""haunt"":true}",carbon_deco,5,4,1,12,3,787,"{""quick_respawn"":0.9,""special_saver"":0.9,""sub_resistance_up"":0.6,""intensify_action"":0.3,""drop_roller"":true,""last_ditch_effort"":true,""ninja_squid"":true}",dentalwiper_mint,7,7,0,15,2,886,"{""swim_speed_up"":2.2,""quick_respawn"":1.6,""special_saver"":0.6,""quick_super_jump"":0.3,""stealth_jump"":true}",longblaster_custom,20,17,3,5,3,1167,"{""swim_speed_up"":1.6,""quick_super_jump"":0.6,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""sub_power_up"":0.3,""comeback"":true,""stealth_jump"":true}",order_shooter_replica,19,16,3,5,4,1329,"{""swim_speed_up"":1.6,""special_charge_up"":1,""intensify_action"":0.9,""run_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""stealth_jump"":true}",wideroller,7,4,3,9,5,1179,"{""special_charge_up"":2.6,""special_power_up"":1.9,""special_saver"":0.6,""swim_speed_up"":0.6}",52gal,9,8,1,10,1,766,"{""swim_speed_up"":4.5,""ink_saver_main"":0.3,""quick_super_jump"":0.3}",gold,#1 Overall Splatter,gold,#1 Enemy Splatter,silver,#1 Rainmaker Stopper,
Drizzle Season 2024,2024-09-22T04:00:00+00:00,9.1.0,bankara_challenge,hoko,zatou,110,bravo,TRUE,S,,1545,,0,cd510aff,,1669,,100,6e04b6ff,,52gal,4,2,2,3,2,442,"{""swim_speed_up"":2.3,""sub_resistance_up"":0.6,""ink_saver_sub"":0.3,""intensify_action"":0.3,""special_saver"":0.3,""stealth_jump"":true}",quadhopper_black,4,4,0,3,3,440,"{""special_charge_up"":2.8,""special_saver"":0.9,""haunt"":true,""stealth_jump"":true}",sshooter_collabo,1,1,0,5,0,340,"{""swim_speed_up"":3.5,""intensify_action"":0.9,""ink_saver_sub"":0.3,""stealth_jump"":true}",hydra_custom,2,2,0,3,1,323,"{""run_speed_up"":3.8,""swim_speed_up"":0.9,""thermal_ink"":true}",kelvin525_deco,5,2,3,2,0,264,"{""quick_respawn"":1.6,""special_charge_up"":1,""swim_speed_up"":1,""ink_saver_sub"":0.6,""intensify_action"":0.6,""run_speed_up"":0.6,""ink_resistance_up"":0.3}",sputtery_hue,5,4,1,5,0,620,"{""quick_respawn"":2.8,""quick_super_jump"":0.9,""last_ditch_effort"":true,""stealth_jump"":true}",splatscope,4,4,0,1,1,376,"{""sub_power_up"":2,""ink_recovery_up"":1.9,""ink_resistance_up"":0.9,""ink_saver_sub"":0.9}",splatroller,4,4,0,1,1,409,"{""swim_speed_up"":3.5,""ink_recovery_up"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""sub_power_up"":0.3,""ninja_squid"":true}",gold,#1 Overall Splatter,gold,#1 Splat Assister,gold,#1 Turf Inker,
Drizzle Season 2024,2024-09-22T04:00:00+00:00,9.1.0,bankara_challenge,hoko,zatou,227,alpha,TRUE,S,,3451,,100,ba30b0ff,,3232,,0,a0c937ff,,52gal,7,6,1,2,4,1060,"{""swim_speed_up"":2.3,""sub_resistance_up"":0.6,""ink_saver_sub"":0.3,""intensify_action"":0.3,""special_saver"":0.3,""stealth_jump"":true}",dynamo_tesla,12,10,2,4,3,1072,"{""ink_saver_main"":1,""quick_super_jump"":0.9,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""comeback"":true,""stealth_jump"":true}",gaen_ff_custom,6,3,3,3,2,743,"{""quick_super_jump"":2.8,""swim_speed_up"":0.9,""drop_roller"":true,""ninja_squid"":true}",liter4k,7,6,1,1,0,576,"{""special_charge_up"":1.6,""swim_speed_up"":1.5,""quick_super_jump"":1.3,""intensify_action"":0.3,""respawn_punisher"":true}",liter4k,5,5,0,6,1,567,"{""swim_speed_up"":1.5,""ink_saver_main"":1,""sub_power_up"":0.9,""run_speed_up"":0.3,""comeback"":true,""respawn_punisher"":true}",kelvin525,2,1,1,7,2,715,"{""swim_speed_up"":1.9,""ink_saver_main"":1.6,""intensify_action"":0.3,""quick_respawn"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""object_shredder"":true}",spygadget_sorella,2,2,0,8,4,1028,"{""swim_speed_up"":1,""run_speed_up"":0.9,""ink_resistance_up"":0.6,""ink_saver_main"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",dualsweeper,2,2,0,6,4,922,"{""ink_saver_main"":1.3,""quick_respawn"":1,""swim_speed_up"":1,""ink_resistance_up"":0.6,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""sub_power_up"":0.3}",gold,Record-Score Setter,silver,#1 Rainmaker Stopper,silver,#1 Rainmaker Carrier,
Drizzle Season 2024,2024-09-22T04:00:00+00:00,9.1.0,bankara_challenge,hoko,kinmedai,332,bravo,FALSE,S,,5643,,73,a0c937ff,,5288,,78,ba30b0ff,,52gal,14,12,2,6,7,1764,"{""swim_speed_up"":2.3,""sub_resistance_up"":0.6,""ink_saver_sub"":0.3,""intensify_action"":0.3,""special_saver"":0.3,""stealth_jump"":true}",dynamo_tesla,13,10,3,10,4,1832,"{""ink_saver_main"":1,""quick_super_jump"":0.9,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""comeback"":true,""stealth_jump"":true}",liter4k,8,7,1,5,2,868,"{""special_charge_up"":1.6,""swim_speed_up"":1.5,""quick_super_jump"":1.3,""intensify_action"":0.3,""respawn_punisher"":true}",gaen_ff_custom,10,6,4,9,2,1179,"{""quick_super_jump"":2.8,""swim_speed_up"":0.9,""drop_roller"":true,""ninja_squid"":true}",furuido_custom,12,8,4,7,5,1491,"{""quick_super_jump"":1.3,""ink_saver_main"":0.6,""run_speed_up"":0.6,""special_charge_up"":0.6,""special_saver"":0.3,""swim_speed_up"":0.3,""stealth_jump"":true,""thermal_ink"":true}",furuido,15,9,6,5,3,1441,"{""special_charge_up"":3.8,""special_saver"":1.9}",spygadget_sorella,12,5,7,11,4,1449,"{""swim_speed_up"":1,""run_speed_up"":0.9,""ink_resistance_up"":0.6,""ink_saver_main"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",momiji,8,7,1,12,3,907,"{""ink_saver_sub"":2.9,""special_saver"":0.3,""swim_speed_up"":0.3,""object_shredder"":true}",gold,#1 Overall Splatter,gold,#1 Enemy Splatter,silver,#1 Ground Traveler,
Drizzle Season 2024,2024-09-22T06:00:00+00:00,9.1.0,bankara_challenge,yagura,yagara,311,alpha,FALSE,S+ 0,,4526,,66,6e04b6ff,,4029,,65,cd510aff,,examiner_hue,14,9,5,5,4,1093,"{""run_speed_up"":2.9,""ink_resistance_up"":1,""ink_recovery_up"":0.6,""sub_power_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3}",order_shooter_replica,15,13,2,5,7,1478,"{""quick_respawn"":1.6,""special_charge_up"":0.9,""swim_speed_up"":0.9,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",momiji,9,3,6,10,4,882,"{""swim_speed_up"":3.5,""ink_saver_main"":0.9,""intensify_action"":0.3,""ninja_squid"":true}",momiji,13,12,1,7,6,1073,"{""ink_saver_sub"":1,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_respawn"":0.3,""special_power_up"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",nautilus79,11,8,3,9,3,1309,"{""swim_speed_up"":1.9,""run_speed_up"":1,""ink_resistance_up"":0.9,""quick_super_jump"":0.6,""sub_resistance_up"":0.3,""stealth_jump"":true}",hokusai_hue,10,8,2,12,2,807,"{""swim_speed_up"":3.2,""quick_respawn"":2.2,""ink_saver_main"":0.3}",rapid_elite_deco,10,5,5,7,5,975,"{""swim_speed_up"":1,""quick_super_jump"":0.9,""intensify_action"":0.6,""ink_resistance_up"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",hokusai_hue,7,6,1,9,3,938,"{""swim_speed_up"":1.9,""quick_super_jump"":1.3,""ink_saver_sub"":0.6,""ink_saver_main"":0.3,""special_charge_up"":0.3,""sub_power_up"":0.3,""ninja_squid"":true}",gold,#1 Super Jump Spot,gold,#1 Popular Target,silver,#1 Checkpoint Breaker,
Drizzle Season 2024,2024-09-22T06:00:00+00:00,9.1.0,bankara_challenge,yagura,yagara,300,bravo,FALSE,S+ 0,,4800,,37,ba30b0ff,,5078,,93,a0c937ff,,examiner_hue,9,7,2,8,3,1074,"{""run_speed_up"":2.9,""ink_resistance_up"":1,""ink_recovery_up"":0.6,""sub_power_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3}",sshooter,12,9,3,9,4,1193,"{""swim_speed_up"":2,""run_speed_up"":0.9,""intensify_action"":0.6,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",wakaba,4,2,2,6,5,1415,"{""ink_saver_sub"":1.5,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""last_ditch_effort"":true,""ninja_squid"":true,""stealth_jump"":true}",momiji,8,6,2,9,4,1118,"{""swim_speed_up"":3.5,""ink_saver_main"":0.9,""intensify_action"":0.3,""ninja_squid"":true}",clashblaster,14,13,1,5,6,1169,"{""ink_saver_sub"":2.8,""ink_saver_main"":1.9,""ninja_squid"":true}",momiji,9,5,4,4,5,1124,"{""swim_speed_up"":1.9,""ink_saver_sub"":1,""ink_saver_main"":0.9,""quick_super_jump"":0.6,""ink_recovery_up"":0.3,""comeback"":true}",maneuver,8,6,2,7,5,1162,"{""swim_speed_up"":1.6,""quick_super_jump"":0.6,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""quick_respawn"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",sharp_neo,9,8,1,8,7,1623,"{""ink_recovery_up"":1.9,""special_charge_up"":1.9,""swim_speed_up"":1.9}",gold,#1 Super Jump Spot,silver,#1 Tower Stopper,silver,First Splat!,
