# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,power,alpha-inked,alpha-ink-percent,alpha-count,alpha-color,alpha-theme,bravo-inked,bravo-ink-percent,bravo-count,bravo-color,bravo-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities,medal1-grade,medal1-name,medal2-grade,medal2-name,medal3-grade,medal3-name,event
Sizzle Season 2023,2023-08-17T00:00:00+00:00,4.1.0,bankara_open,hoko,manta,233,alpha,TRUE,S+ 0,,,,100,1bbfabff,,,,0,c43a6fff,,drivewiper,10,8,2,6,2,988,"{""quick_respawn"":1.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""haunt"":true,""stealth_jump"":true}",sharp,10,5,5,6,3,999,"{""special_charge_up"":1,""swim_speed_up"":1,""intensify_action"":0.6,""quick_respawn"":0.6,""sub_resistance_up"":0.6,""ink_recovery_up"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""stealth_jump"":true}",tristringer,8,5,3,4,4,656,"{""ink_resistance_up"":1,""intensify_action"":1,""run_speed_up"":1,""quick_super_jump"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3}",hokusai,7,7,0,4,2,805,"{""ink_saver_main"":1.9,""ink_saver_sub"":1.3,""special_power_up"":1.3,""ink_recovery_up"":0.9,""sub_power_up"":0.3}",furo,8,6,2,5,5,1284,"{""special_charge_up"":1.3,""special_saver"":1,""ink_resistance_up"":0.6,""ink_saver_main"":0.6,""ink_saver_sub"":0.3,""run_speed_up"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""thermal_ink"":true}",sshooter,5,4,1,7,2,821,"{""ink_resistance_up"":1.3,""intensify_action"":1,""quick_respawn"":1,""ink_saver_sub"":0.6,""ink_recovery_up"":0.3,""quick_super_jump"":0.3,""special_power_up"":0.3,""sub_resistance_up"":0.3}",dynamo,6,4,2,8,2,745,"{""quick_respawn"":1,""run_speed_up"":1,""swim_speed_up"":1,""ink_recovery_up"":0.3,""sub_power_up"":0.3}",drivewiper,5,5,0,6,3,777,"{""swim_speed_up"":2.5,""ink_saver_sub"":1,""ink_resistance_up"":0.6,""quick_respawn"":0.3,""special_saver"":0.3,""ninja_squid"":true}",gold,#1 Overall Splatter,gold,Record-Score Setter,gold,#1 Score Booster,
Sizzle Season 2023,2023-08-17T00:00:00+00:00,4.1.0,bankara_open,hoko,manta,309,bravo,FALSE,S+ 0,,,,37,1a1aafff,,,,95,e38d25ff,,drivewiper,14,10,4,11,4,1215,"{""quick_respawn"":1.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""haunt"":true,""stealth_jump"":true}",variableroller,11,7,4,6,5,1228,"{""special_saver"":2.2,""special_charge_up"":2,""swim_speed_up"":0.6,""ink_saver_sub"":0.3,""special_power_up"":0.3,""sub_resistance_up"":0.3}",nzap89,13,6,7,5,5,1178,"{""quick_respawn"":0.9,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true,""ninja_squid"":true,""object_shredder"":true}",splatroller_collabo,11,10,1,7,3,715,"{""quick_respawn"":1,""swim_speed_up"":1,""ink_saver_main"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""run_speed_up"":0.3,""special_power_up"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",sshooter_collabo,12,8,4,9,3,1234,"{""ink_saver_sub"":1.3,""sub_power_up"":1.3,""ink_saver_main"":1,""swim_speed_up"":0.9,""ink_resistance_up"":0.6,""run_speed_up"":0.3,""sub_resistance_up"":0.3}",tristringer,10,8,2,2,7,1319,"{""intensify_action"":1.9,""special_charge_up"":1.9,""ink_saver_main"":0.9,""stealth_jump"":true}",nzap89,8,7,1,12,2,957,"{""special_saver"":1,""sub_resistance_up"":1,""ink_saver_sub"":0.6,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""quick_respawn"":0.3,""run_speed_up"":0.3,""ninja_squid"":true}",splatroller_collabo,7,4,3,10,1,719,"{""ink_saver_main"":1.6,""ink_recovery_up"":1,""quick_respawn"":0.6,""quick_super_jump"":0.6,""swim_speed_up"":0.6,""special_charge_up"":0.3,""stealth_jump"":true}",gold,#1 Overall Splatter,gold,#1 Enemy Splatter,gold,#1 Popular Target,
Sizzle Season 2023,2023-08-17T00:00:00+00:00,4.1.0,bankara_challenge,yagura,chozame,181,bravo,TRUE,B+,,2643,,0,cd510aff,,2543,,100,6e04b6ff,,dualsweeper_custom,1,0,1,1,4,1203,"{""special_power_up"":1.9,""sub_power_up"":1.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true}",sharp,7,6,1,5,1,653,"{""ink_recovery_up"":1.6,""quick_respawn"":1.6,""swim_speed_up"":1,""ink_saver_main"":0.3,""intensify_action"":0.3,""run_speed_up"":0.3,""special_saver"":0.3}",sharp_neo,4,3,1,7,1,515,"{""quick_respawn"":1.3,""ink_recovery_up"":1,""special_charge_up"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""opening_gambit"":true}",variableroller,3,3,0,7,0,272,"{""swim_speed_up"":1.8,""ink_saver_sub"":1,""run_speed_up"":1,""ink_saver_main"":0.3,""ninja_squid"":true}",splatcharger,12,8,4,0,3,551,"{""ink_saver_main"":1,""quick_super_jump"":0.6,""ink_recovery_up"":0.3,""ink_saver_sub"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""drop_roller"":true,""ninja_squid"":true}",hissen_hue,10,8,2,3,3,783,"{""special_charge_up"":0.9,""special_power_up"":0.9,""special_saver"":0.9,""drop_roller"":true,""ninja_squid"":true,""tenacity"":true}",momiji,5,1,4,3,5,774,"{""sub_power_up"":1.3,""ink_saver_main"":1.2,""quick_respawn"":1,""special_power_up"":1,""intensify_action"":0.6,""ink_recovery_up"":0.3,""special_charge_up"":0.3}",quadhopper_black,5,2,3,6,1,435,"{""ink_saver_main"":1.9,""sub_power_up"":1.9,""ink_recovery_up"":1.3,""run_speed_up"":0.3,""special_power_up"":0.3}",silver,#1 Ground Traveler,gold,#1 Turf Inker,gold,#1 Splat Assister,
Sizzle Season 2023,2023-08-17T00:00:00+00:00,4.1.0,regular,nawabari,kinmedai,180,alpha,,,,3617,56.0,,1bbfabff,,3424,30.1,,c43a6eff,,nzap89,4,3,1,0,3,930,"{""ink_saver_sub"":1.9,""special_charge_up"":1.9,""sub_power_up"":1.9}",pablo,10,8,2,1,4,1041,"{""quick_respawn"":2.5,""sub_power_up"":0.6,""quick_super_jump"":0.3,""special_power_up"":0.3,""comeback"":true,""stealth_jump"":true}",variableroller,6,5,1,4,2,905,"{""ink_saver_main"":1.6,""quick_respawn"":1.3,""special_power_up"":1,""swim_speed_up"":0.6,""ink_saver_sub"":0.3,""quick_super_jump"":0.3}",hotblaster,10,6,4,3,2,741,"{""ink_recovery_up"":1.3,""sub_power_up"":1,""quick_respawn"":0.6,""ink_saver_sub"":0.3,""intensify_action"":0.3,""special_power_up"":0.3,""swim_speed_up"":0.3,""ninja_squid"":true}",pablo_hue,5,4,1,6,2,1024,"{""ink_recovery_up"":1,""quick_super_jump"":1,""ink_saver_main"":0.9,""special_power_up"":0.9,""swim_speed_up"":0.6,""run_speed_up"":0.3,""opening_gambit"":true}",nzap85,2,2,0,6,2,859,"{""quick_super_jump"":1,""special_saver"":1,""sub_resistance_up"":1,""run_speed_up"":0.6,""sub_power_up"":0.6,""ink_saver_main"":0.3,""special_power_up"":0.3}",pablo_hue,2,0,2,6,2,776,"{""swim_speed_up"":3.5,""special_power_up"":1,""run_speed_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3}",hokusai,3,2,1,5,0,765,"{""ink_recovery_up"":1.3,""quick_respawn"":1,""special_saver"":1,""ink_resistance_up"":0.3,""ink_saver_main"":0.3}",gold,#1 Super Jump Spot,gold,#1 Enemy-Base Inker,silver,#1 Super Chump User,
Sizzle Season 2023,2023-08-17T00:00:00+00:00,4.1.0,regular,nawabari,kinmedai,180,bravo,,,,3164,36.1,,1ec0adff,,3195,51.0,,d74b31ff,,nzap89,0,0,0,4,2,642,"{""ink_saver_sub"":1.9,""special_charge_up"":1.9,""sub_power_up"":1.9}",pablo,8,7,1,7,2,933,"{""quick_respawn"":2.5,""sub_power_up"":0.6,""quick_super_jump"":0.3,""special_power_up"":0.3,""comeback"":true,""stealth_jump"":true}",promodeler_rg,2,2,0,7,2,926,"{""special_charge_up"":5.7}",campingshelter,5,3,2,6,0,663,"{""ink_saver_main"":1.9,""quick_respawn"":1,""intensify_action"":0.9,""quick_super_jump"":0.6,""ink_saver_sub"":0.3,""comeback"":true}",hissen_hue,8,7,1,3,2,893,"{""swim_speed_up"":1.9,""ink_saver_main"":1.6,""quick_respawn"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""stealth_jump"":true}",drivewiper,8,6,2,4,2,860,"{""quick_respawn"":2.8,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",hokusai,9,9,0,3,2,760,"{""ink_saver_main"":1.9,""quick_respawn"":0.9,""ink_resistance_up"":0.6,""sub_resistance_up"":0.3,""comeback"":true,""drop_roller"":true}",carbon_deco,3,2,1,2,3,682,"{""special_charge_up"":2,""special_saver"":1,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_power_up"":0.3,""sub_power_up"":0.3}",silver,#1 Ink Consumer,silver,#1 Super Chump User,,,
Sizzle Season 2023,2023-08-17T00:00:00+00:00,4.1.0,bankara_challenge,yagura,chozame,152,bravo,TRUE,B+,,2167,,0,c12d74ff,,2079,,100,2cb721ff,,dualsweeper_custom,1,1,0,0,4,1016,"{""special_power_up"":1.9,""sub_power_up"":1.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true}",promodeler_rg,6,6,0,5,1,517,"{""ink_resistance_up"":1.9,""ink_saver_main"":1.9,""special_charge_up"":1.6}",liter4k,5,5,0,4,0,310,"{""ink_recovery_up"":2.2,""ink_saver_main"":1,""ink_resistance_up"":0.3,""run_speed_up"":0.3,""special_power_up"":0.3,""sub_power_up"":0.3,""swim_speed_up"":0.3,""respawn_punisher"":true}",sharp_neo,0,0,0,5,0,324,"{""quick_respawn"":1.6,""special_charge_up"":1.3,""ink_saver_main"":0.3,""run_speed_up"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""swim_speed_up"":0.3,""stealth_jump"":true}",clashblaster,9,8,1,3,2,488,"{""swim_speed_up"":1.3,""special_charge_up"":1,""ink_saver_main"":0.9,""special_saver"":0.6,""ink_recovery_up"":0.3,""quick_super_jump"":0.3,""special_power_up"":0.3,""comeback"":true}",sharp_neo,5,3,2,2,3,737,"{""quick_respawn"":1.9,""swim_speed_up"":1.9,""run_speed_up"":0.9,""ninja_squid"":true}",splatroller_collabo,1,1,0,4,3,273,"{""quick_respawn"":2.3,""ink_saver_main"":0.6,""ink_saver_sub"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""sub_power_up"":0.3,""swim_speed_up"":0.3,""thermal_ink"":true}",rapid,2,1,1,3,1,581,"{""ink_recovery_up"":1,""ink_saver_main"":1,""sub_power_up"":1,""special_saver"":0.6,""sub_resistance_up"":0.6,""quick_respawn"":0.3}",gold,#1 Super Jump Spot,silver,#1 Ground Traveler,gold,#1 Turf Inker,
Sizzle Season 2023,2023-08-17T00:00:00+00:00,4.1.0,regular,nawabari,kinmedai,180,bravo,,,,3945,45.0,,a0c937ff,,3903,46.3,,ba30b0ff,,nzap89,2,2,0,4,2,817,"{""ink_saver_sub"":1.9,""special_charge_up"":1.9,""sub_power_up"":1.9}",promodeler_rg,2,2,0,4,2,1114,"{""swim_speed_up"":1.3,""special_power_up"":1,""special_saver"":1,""ink_recovery_up"":0.6,""ink_saver_main"":0.6,""intensify_action"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3}",pablo,5,5,0,4,3,1051,"{""quick_respawn"":2.5,""sub_power_up"":0.6,""quick_super_jump"":0.3,""special_power_up"":0.3,""comeback"":true,""stealth_jump"":true}",tristringer,3,2,1,1,4,963,"{""ink_recovery_up"":1,""special_charge_up"":1,""ink_saver_main"":0.9,""run_speed_up"":0.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""thermal_ink"":true}",promodeler_rg,4,4,0,2,4,1456,"{""run_speed_up"":1.6,""intensify_action"":1.3,""swim_speed_up"":1.3,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""special_power_up"":0.3,""sub_power_up"":0.3}",promodeler_rg,7,7,0,3,3,1088,"{""special_charge_up"":1.9,""intensify_action"":0.9,""swim_speed_up"":0.9,""drop_roller"":true,""ninja_squid"":true}",splatcharger_collabo,1,1,0,2,3,859,"{""ink_recovery_up"":1.3,""ink_saver_main"":1,""intensify_action"":0.6,""quick_super_jump"":0.6,""special_power_up"":0.6,""ink_saver_sub"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",bamboo14mk1,2,1,1,4,1,500,"{""ink_recovery_up"":1.3,""ink_saver_sub"":1.3,""run_speed_up"":1,""special_power_up"":0.6,""special_saver"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""sub_resistance_up"":0.3}",silver,#2 Enemy Splatter,silver,#2 Home-Base Inker,silver,#1 Super Chump User,
Sizzle Season 2023,2023-08-17T00:00:00+00:00,4.1.0,bankara_challenge,yagura,chozame,102,alpha,TRUE,B+,,1580,,100,3a0ccdff,,1173,,0,d0bf08ff,,dualsweeper_custom,2,2,0,0,3,805,"{""special_power_up"":1.9,""sub_power_up"":1.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true}",sharp_neo,7,6,1,1,1,269,"{""quick_respawn"":1.6,""special_charge_up"":1.3,""ink_saver_main"":0.3,""run_speed_up"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""swim_speed_up"":0.3,""stealth_jump"":true}",liter4k,2,1,1,1,1,175,"{""ink_recovery_up"":2.2,""ink_saver_main"":1,""ink_resistance_up"":0.3,""run_speed_up"":0.3,""special_power_up"":0.3,""sub_power_up"":0.3,""swim_speed_up"":0.3,""respawn_punisher"":true}",longblaster,3,2,1,0,1,331,"{""ink_resistance_up"":1,""ink_saver_sub"":1,""run_speed_up"":0.9,""special_power_up"":0.9,""swim_speed_up"":0.9,""ninja_squid"":true}",promodeler_mg,1,1,0,3,0,486,"{""swim_speed_up"":1.6,""quick_respawn"":1,""ink_saver_sub"":0.9,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""ninja_squid"":true}",clashblaster,1,1,0,3,0,202,"{""ink_saver_main"":1,""ink_saver_sub"":1,""special_charge_up"":1,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_power_up"":0.3,""special_saver"":0.3}",nautilus47,0,0,0,2,0,105,"{""ink_resistance_up"":1,""quick_respawn"":1,""special_saver"":1,""ink_recovery_up"":0.6,""special_power_up"":0.6,""ink_saver_sub"":0.3,""intensify_action"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3}",jimuwiper,0,0,0,3,1,380,"{""special_power_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""haunt"":true,""stealth_jump"":true,""tenacity"":true}",silver,#1 Ground Traveler,gold,#1 Turf Inker,silver,#1 Ink Consumer,
Sizzle Season 2023,2023-08-17T00:00:00+00:00,4.1.0,xmatch,asari,mahimahi,263,bravo,TRUE,,2704.4,3812,,0,3a0ccdff,,3960,,100,d0bf08ff,,hotblaster,8,7,1,9,2,795,"{""swim_speed_up"":1.3,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""ninja_squid"":true,""stealth_jump"":true}",96gal_deco,14,11,3,5,5,1067,"{""special_power_up"":1.3,""special_charge_up"":1,""ink_resistance_up"":0.6,""intensify_action"":0.6,""swim_speed_up"":0.6,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",jetsweeper,10,4,6,7,3,844,"{""run_speed_up"":1.6,""special_charge_up"":1.3,""special_power_up"":1,""intensify_action"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3}",pablo_hue,9,7,2,7,5,1106,"{""special_power_up"":1,""special_charge_up"":0.9,""special_saver"":0.9,""sub_power_up"":0.9,""ninja_squid"":true,""object_shredder"":true}",hissen_hue,20,6,14,4,5,1406,"{""quick_respawn"":1.9,""special_saver"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""comeback"":true,""stealth_jump"":true}",52gal,10,8,2,9,3,773,"{""special_charge_up"":1.9,""swim_speed_up"":1.3,""ink_saver_main"":0.6,""ink_recovery_up"":0.3,""run_speed_up"":0.3,""special_power_up"":0.3,""last_ditch_effort"":true}",nautilus47,9,5,4,7,3,884,"{""run_speed_up"":1.3,""swim_speed_up"":1.3,""ink_resistance_up"":0.6,""quick_super_jump"":0.6,""special_power_up"":0.6,""sub_resistance_up"":0.3,""drop_roller"":true}",drivewiper,11,9,2,9,4,897,"{""quick_respawn"":1.9,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",gold,#1 Super Jump Spot,silver,#1 Ink Consumer,silver,#1 Clam Stopper,
Sizzle Season 2023,2023-08-17T00:00:00+00:00,4.1.0,regular,nawabari,kinmedai,180,alpha,,,,3375,46.7,,9025c6ff,,3317,44.1,,cfb121ff,,nzap89,3,2,1,4,2,655,"{""ink_saver_sub"":1.9,""special_charge_up"":1.9,""sub_power_up"":1.9}",pablo,11,10,1,3,5,1268,"{""quick_respawn"":2.5,""sub_power_up"":0.6,""quick_super_jump"":0.3,""special_power_up"":0.3,""comeback"":true,""stealth_jump"":true}",drivewiper_deco,5,4,1,5,3,948,"{""special_charge_up"":1.9,""swim_speed_up"":0.9,""sub_power_up"":0.6,""special_saver"":0.3,""comeback"":true,""ninja_squid"":true}",sblast92,2,2,0,4,1,504,"{""ink_resistance_up"":0.9,""ink_recovery_up"":0.6,""ink_saver_main"":0.3,""quick_respawn"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""last_ditch_effort"":true,""ninja_squid"":true,""stealth_jump"":true}",variableroller,6,6,0,3,2,929,"{""ink_saver_main"":1.9,""ink_recovery_up"":1.6,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""last_ditch_effort"":true}",nzap89,5,5,0,6,2,906,"{""run_speed_up"":3.8,""swim_speed_up"":1,""special_charge_up"":0.9}",pablo,2,2,0,5,4,841,"{""special_saver"":1,""ink_saver_sub"":0.9,""ink_saver_main"":0.6,""run_speed_up"":0.6,""quick_super_jump"":0.3,""swim_speed_up"":0.3,""drop_roller"":true,""ninja_squid"":true}",furo,4,3,1,4,1,641,"{""special_charge_up"":1.6,""ink_resistance_up"":1,""ink_saver_main"":1,""sub_resistance_up"":0.3}",gold,#1 Splat Assister,silver,First Splat!,silver,#1 Base Defender,
