# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,power,alpha-inked,alpha-ink-percent,alpha-count,alpha-color,alpha-theme,bravo-inked,bravo-ink-percent,bravo-count,bravo-color,bravo-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities,medal1-grade,medal1-name,medal2-grade,medal2-name,medal3-grade,medal3-name,event
Sizzle Season 2023,2023-08-14T00:00:00+00:00,4.1.0,bankara_open,area,namero,204,alpha,TRUE,S,,2984,,100,c43a6eff,,2879,,0,1bbfabff,,hissen_hue,18,15,3,7,2,732,"{""quick_respawn"":1.9,""sub_power_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",nzap89,11,8,3,5,3,1041,"{""run_speed_up"":1.9,""ink_saver_sub"":1,""ink_saver_main"":0.6,""quick_super_jump"":0.6,""sub_resistance_up"":0.6,""last_ditch_effort"":true}",longblaster,11,5,6,3,1,583,"{""intensify_action"":2.5,""ink_saver_main"":1.3,""ink_saver_sub"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""drop_roller"":true}",splatroller,5,4,1,5,2,628,"{""swim_speed_up"":2.2,""ink_saver_sub"":0.3,""special_power_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",splatroller,7,4,3,6,3,683,"{""ink_recovery_up"":1,""special_charge_up"":1,""swim_speed_up"":0.9,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true}",variableroller,5,5,0,9,2,825,"{""special_charge_up"":1.9,""special_power_up"":1.9,""run_speed_up"":1.6,""special_saver"":0.3}",clashblaster_neo,8,7,1,9,1,562,"{""ink_saver_sub"":1.9,""ink_recovery_up"":1.3,""swim_speed_up"":1,""ink_saver_main"":0.3,""intensify_action"":0.3}",nzap89,6,4,2,9,2,809,"{""quick_super_jump"":1.9,""intensify_action"":1,""special_charge_up"":1,""run_speed_up"":0.9,""swim_speed_up"":0.9}",gold,#1 Overall Splatter,gold,#1 Splat Zone Guard,gold,#1 Popular Target,
Sizzle Season 2023,2023-08-14T00:00:00+00:00,4.1.0,bankara_open,area,namero,73,alpha,TRUE,S,,1497,,100,ba30b0ff,,946,,0,a0c937ff,,hissen_hue,5,3,2,1,1,270,"{""quick_respawn"":1.9,""sub_power_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",prime_collabo,7,7,0,1,1,402,"{""swim_speed_up"":1.2,""intensify_action"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""last_ditch_effort"":true,""ninja_squid"":true,""stealth_jump"":true}",drivewiper_deco,4,0,4,0,2,526,"{""special_charge_up"":1.3,""special_saver"":0.6,""sub_power_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""comeback"":true,""stealth_jump"":true}",drivewiper,5,4,1,1,1,299,"{""quick_respawn"":1.9,""swim_speed_up"":1,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",spaceshooter,1,1,0,4,1,319,"{""quick_super_jump"":1,""ink_resistance_up"":0.6,""special_charge_up"":0.6,""special_power_up"":0.6,""ink_saver_sub"":0.3,""special_saver"":0.3,""swim_speed_up"":0.3,""opening_gambit"":true,""stealth_jump"":true}",clashblaster_neo,2,2,0,3,1,259,"{""ink_saver_main"":2.9,""run_speed_up"":1.9,""swim_speed_up"":0.9}",splatscope_collabo,0,0,0,3,0,163,"{""quick_super_jump"":1,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""intensify_action"":0.3,""special_power_up"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",rpen_5h,0,0,0,4,1,205,"{""special_charge_up"":1.6,""ink_saver_sub"":0.6,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""special_saver"":0.3,""last_ditch_effort"":true,""object_shredder"":true}",gold,#1 Super Jump Spot,gold,#1 Splat Zone Inker,silver,First Splat!,
Sizzle Season 2023,2023-08-14T00:00:00+00:00,4.1.0,bankara_open,area,zatou,300,bravo,FALSE,S,,5093,,74,cfb121ff,,5586,,84,9025c6ff,,hissen_hue,16,10,6,9,4,1276,"{""quick_respawn"":1.9,""sub_power_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",tristringer,15,12,3,3,8,1612,"{""special_charge_up"":1.3,""run_speed_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""object_shredder"":true}",prime_collabo,7,5,2,12,4,1322,"{""swim_speed_up"":1.2,""intensify_action"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""last_ditch_effort"":true,""ninja_squid"":true,""stealth_jump"":true}",drivewiper,6,4,2,13,1,883,"{""quick_respawn"":1.9,""swim_speed_up"":1,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",furo,16,7,9,4,8,1889,"{""ink_saver_main"":2.9,""special_charge_up"":1.9,""ink_recovery_up"":0.9}",jetsweeper_custom,16,9,7,9,5,1197,"{""swim_speed_up"":1.3,""special_charge_up"":1,""ink_saver_sub"":0.9,""special_saver"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",nzap89,16,10,6,8,3,1075,"{""ink_saver_main"":4.1,""ink_saver_sub"":1,""ink_resistance_up"":0.3,""swim_speed_up"":0.3}",momiji,13,11,2,10,7,1425,"{""ink_saver_sub"":2.3,""special_charge_up"":1,""ink_saver_main"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3}",gold,#1 Overall Splatter,gold,#1 Splat Zone Guard,gold,#1 Popular Target,
Sizzle Season 2023,2023-08-14T00:00:00+00:00,4.1.0,bankara_open,area,zatou,120,bravo,TRUE,S,,1874,,0,1ec0adff,,2033,,100,d74b31ff,,hissen_hue,3,2,1,6,1,488,"{""quick_respawn"":1.9,""sub_power_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",quadhopper_black,0,0,0,5,2,534,"{""quick_respawn"":2.8,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",96gal,1,1,0,4,2,534,"{""intensify_action"":1.9,""swim_speed_up"":1.3,""ink_saver_main"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",drivewiper,1,1,0,7,0,318,"{""quick_respawn"":1.9,""swim_speed_up"":1,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",hydra,11,6,5,1,1,466,"{""run_speed_up"":1.9,""ink_resistance_up"":0.9,""quick_respawn"":0.9,""respawn_punisher"":true,""stealth_jump"":true}",barrelspinner,8,7,1,0,2,651,"{""run_speed_up"":2.2,""ink_saver_main"":1,""quick_respawn"":1,""special_charge_up"":0.6,""special_saver"":0.6,""intensify_action"":0.3}",drivewiper,8,4,4,1,1,440,"{""quick_respawn"":1.5,""ink_recovery_up"":0.3,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""swim_speed_up"":0.3,""comeback"":true,""haunt"":true,""stealth_jump"":true}",sshooter,5,5,0,2,1,476,"{""swim_speed_up"":1.3,""intensify_action"":0.9,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",gold,#1 Overall Splatter,gold,#1 Enemy Splatter,gold,#1 Popular Target,
Sizzle Season 2023,2023-08-14T02:00:00+00:00,4.1.0,xmatch,hoko,yagara,318,alpha,FALSE,,1445.1,5142,,62,d74b31ff,,5077,,40,1ec0adff,,furo,9,6,3,3,7,1991,"{""ink_saver_main"":1.9,""swim_speed_up"":1.6,""special_charge_up"":1,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3}",jetsweeper_custom,16,10,6,5,5,1615,"{""ink_saver_main"":1.6,""swim_speed_up"":1.5,""special_saver"":1,""ink_resistance_up"":0.6,""haunt"":true}",quadhopper_black,9,8,1,10,2,903,"{""ink_saver_main"":1,""quick_super_jump"":1,""swim_speed_up"":1,""special_power_up"":0.6,""ink_recovery_up"":0.3,""quick_respawn"":0.3,""sub_resistance_up"":0.3}",longblaster,13,9,4,6,2,633,"{""ink_saver_main"":2.3,""run_speed_up"":1.9,""ink_saver_sub"":0.6,""intensify_action"":0.3,""swim_speed_up"":0.3}",splatspinner_collabo,14,9,5,7,4,1296,"{""run_speed_up"":3.6,""ink_resistance_up"":0.6,""special_saver"":0.6,""intensify_action"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3}",longblaster,11,9,2,7,2,1128,"{""intensify_action"":1.9,""ink_saver_main"":1.6,""swim_speed_up"":1.3,""ink_recovery_up"":0.3,""ink_saver_sub"":0.3,""special_power_up"":0.3}",furo,9,4,5,8,5,1476,"{""ink_saver_main"":1.3,""special_saver"":1.3,""sub_resistance_up"":0.9,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""swim_speed_up"":0.3,""thermal_ink"":true}",quadhopper_black,4,2,2,12,2,1177,"{""swim_speed_up"":2.5,""quick_respawn"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""ninja_squid"":true}",gold,#1 Turf Inker,gold,#1 Popular Target,silver,#1 Rainmaker Stopper,
Sizzle Season 2023,2023-08-14T02:00:00+00:00,4.1.0,xmatch,hoko,zatou,46,alpha,TRUE,,1445.1,851,,100,1bbfabff,,789,,0,c43a6eff,,furo,1,1,0,0,1,297,"{""ink_saver_main"":1.9,""swim_speed_up"":1.6,""special_charge_up"":1,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3}",sshooter,1,0,1,1,0,242,"{""swim_speed_up"":2,""intensify_action"":0.9,""quick_super_jump"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""object_shredder"":true}",kelvin525,3,3,0,1,0,168,"{""ink_recovery_up"":1,""ink_saver_sub"":1,""swim_speed_up"":0.9,""quick_respawn"":0.3,""quick_super_jump"":0.3,""comeback"":true}",prime_collabo,0,0,0,1,0,144,"{""swim_speed_up"":1.9,""intensify_action"":1.6,""ink_recovery_up"":1.3,""special_power_up"":0.3}",dualsweeper,2,2,0,1,1,276,"{""ink_saver_main"":3.2,""quick_super_jump"":0.6,""sub_resistance_up"":0.6,""special_saver"":0.3,""object_shredder"":true}",longblaster,0,0,0,1,0,158,"{""quick_respawn"":1.2,""ink_saver_main"":0.9,""swim_speed_up"":0.6,""drop_roller"":true,""last_ditch_effort"":true,""ninja_squid"":true}",bold,1,1,0,1,0,199,"{""ink_saver_main"":1.6,""swim_speed_up"":1.6,""ink_saver_sub"":0.6,""run_speed_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""respawn_punisher"":true}",splatspinner_collabo,0,0,0,1,0,156,"{""ink_resistance_up"":2.9,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_saver"":0.3,""respawn_punisher"":true}",gold,#1 Super Jump Spot,gold,#1 Turf Inker,gold,#1 Popular Target,
Sizzle Season 2023,2023-08-14T02:00:00+00:00,4.1.0,bankara_open,asari,nampla,301,alpha,TRUE,S+ 0,,4451,,100,df6624ff,,3944,,0,343bc4ff,,furo,10,6,4,3,5,1505,"{""ink_saver_main"":1.9,""swim_speed_up"":1.6,""special_charge_up"":1,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3}",longblaster,25,21,4,6,4,1124,"{""swim_speed_up"":2.3,""ink_saver_main"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_power_up"":0.3,""stealth_jump"":true}",momiji,4,2,2,3,4,1179,"{""swim_speed_up"":1.6,""quick_respawn"":1.3,""ink_saver_sub"":0.9,""quick_super_jump"":0.3,""run_speed_up"":0.3,""last_ditch_effort"":true}",hokusai,5,4,1,8,0,643,"{""swim_speed_up"":2.3,""ink_saver_main"":1,""run_speed_up"":0.9,""quick_respawn"":0.3,""sub_resistance_up"":0.3}",splatroller_collabo,9,5,4,15,1,728,"{""quick_super_jump"":3.5,""quick_respawn"":1,""ink_resistance_up"":0.3,""special_power_up"":0.3}",squiclean_a,5,5,0,7,4,1111,"{""swim_speed_up"":5.1,""ink_resistance_up"":0.3,""quick_respawn"":0.3}",jetsweeper,8,6,2,5,5,730,"{""ink_saver_main"":1.2,""run_speed_up"":0.9,""swim_speed_up"":0.6,""ninja_squid"":true,""stealth_jump"":true,""tenacity"":true}",prime_collabo,5,4,1,7,4,1375,"{""sub_power_up"":2,""ink_recovery_up"":1,""ink_saver_main"":0.9,""run_speed_up"":0.6,""ink_saver_sub"":0.3,""special_power_up"":0.3}",gold,#1 Super Jump Spot,gold,#1 Turf Inker,gold,#1 Splat Assister,
Sizzle Season 2023,2023-08-14T04:00:00+00:00,4.1.0,xmatch,asari,mategai,300,alpha,FALSE,,,3752,,92,2cb721ff,,3745,,50,c12d74ff,,furo,8,7,1,6,4,1376,"{""ink_saver_main"":1.9,""swim_speed_up"":1.6,""special_charge_up"":1,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3}",bottlegeyser,16,9,7,5,4,846,"{""sub_resistance_up"":1.6,""intensify_action"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",variableroller,11,10,1,6,3,802,"{""ink_saver_sub"":2.6,""quick_respawn"":1,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""intensify_action"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3}",squiclean_a,15,11,4,6,2,728,"{""ink_saver_sub"":1.3,""swim_speed_up"":1.2,""run_speed_up"":0.6,""intensify_action"":0.3,""sub_power_up"":0.3,""drop_roller"":true,""ninja_squid"":true}",variableroller,12,11,1,9,3,931,"{""swim_speed_up"":3.8,""ink_saver_main"":1.9}",dualsweeper_custom,10,8,2,7,3,1267,"{""ink_recovery_up"":1,""sub_power_up"":1,""ink_saver_main"":0.6,""run_speed_up"":0.3,""last_ditch_effort"":true}",squiclean_a,3,3,0,12,1,784,"{""swim_speed_up"":2.9,""ink_saver_main"":0.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""drop_roller"":true}",rapid_elite,1,1,0,9,1,763,"{""swim_speed_up"":3,""intensify_action"":0.9,""ink_resistance_up"":0.6,""quick_super_jump"":0.6,""ink_saver_main"":0.3,""sub_resistance_up"":0.3}",gold,#1 Super Jump Spot,gold,#1 Turf Inker,silver,#1 Clam Stopper,
Sizzle Season 2023,2023-08-14T04:00:00+00:00,4.1.0,bankara_challenge,area,yagara,264,alpha,TRUE,S+ 7,,5476,,100,9025c6ff,,5134,,0,cfb121ff,,wakaba,7,3,4,3,7,1577,"{""ink_recovery_up"":1.9,""special_charge_up"":1.3,""quick_super_jump"":0.6,""sub_power_up"":0.6,""ink_resistance_up"":0.3,""last_ditch_effort"":true}",momiji,10,7,3,6,7,1403,"{""ink_saver_sub"":1.9,""special_charge_up"":1.6,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""ninja_squid"":true}",furo,6,5,1,7,3,1169,"{""ink_recovery_up"":1.3,""special_power_up"":1.3,""ink_saver_main"":1.2,""ink_saver_sub"":1,""sub_power_up"":0.6,""quick_super_jump"":0.3}",spygadget,5,4,1,6,5,1327,"{""special_charge_up"":2.3,""ink_saver_main"":0.6,""special_power_up"":0.6,""special_saver"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""tenacity"":true}",52gal,7,4,3,7,6,1341,"{""swim_speed_up"":1.9,""intensify_action"":1.3,""special_power_up"":0.6,""ink_recovery_up"":0.3,""quick_respawn"":0.3,""special_saver"":0.3,""ninja_squid"":true}",sshooter_collabo,6,4,2,4,7,1440,"{""ink_recovery_up"":1,""special_charge_up"":1,""ink_resistance_up"":0.9,""run_speed_up"":0.6,""special_saver"":0.6,""intensify_action"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true}",52gal,12,11,1,8,4,1100,"{""swim_speed_up"":2,""ninja_squid"":true}",soytuber,5,3,2,0,6,1253,"{""special_power_up"":3.2,""special_charge_up"":1.3,""ink_saver_sub"":0.6,""special_saver"":0.6}",gold,#1 Splat Assister,gold,#1 Super Jump Spot,gold,#1 Turf Inker,
Sizzle Season 2023,2023-08-14T04:00:00+00:00,4.1.0,xmatch,asari,mategai,315,bravo,FALSE,,,4759,,29,9025c6ff,,4726,,41,cfb121ff,,furo,5,5,0,8,4,1451,"{""ink_saver_main"":1.9,""swim_speed_up"":1.6,""special_charge_up"":1,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3}",hokusai,11,9,2,5,4,986,"{""ink_recovery_up"":1.3,""quick_super_jump"":1,""ink_resistance_up"":0.6,""sub_power_up"":0.6,""ink_saver_main"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true}",clashblaster_neo,9,6,3,9,4,1231,"{""special_power_up"":1.9,""ink_recovery_up"":1,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""special_charge_up"":0.3,""stealth_jump"":true}",bottlegeyser,6,5,1,5,5,1091,"{""run_speed_up"":2.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""stealth_jump"":true}",rapid_deco,13,11,2,8,2,1030,"{""ink_saver_sub"":1.3,""swim_speed_up"":1.3,""ink_resistance_up"":0.6,""intensify_action"":0.6,""quick_super_jump"":0.6,""sub_resistance_up"":0.3,""stealth_jump"":true}",spaceshooter_collabo,8,5,3,6,4,1581,"{""ink_saver_main"":1,""special_power_up"":1,""swim_speed_up"":1,""ink_recovery_up"":0.6,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3}",hissen,7,4,3,6,0,589,"{""ink_saver_main"":3.2,""ink_saver_sub"":1,""special_power_up"":0.6,""ink_resistance_up"":0.3,""run_speed_up"":0.3}",spygadget,7,7,0,5,4,1526,"{""swim_speed_up"":1.8,""quick_super_jump"":1,""ink_saver_sub"":0.9,""drop_roller"":true,""ninja_squid"":true}",gold,#1 Score Booster,gold,#1 Turf Inker,gold,#1 Clam Carrier,
