# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,power,alpha-inked,alpha-ink-percent,alpha-count,alpha-color,alpha-theme,bravo-inked,bravo-ink-percent,bravo-count,bravo-color,bravo-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities,medal1-grade,medal1-name,medal2-grade,medal2-name,medal3-grade,medal3-name,event
Fresh Season 2024,2024-04-02T00:00:00+00:00,7.1.0,event,yagura,kinmedai,86,alpha,TRUE,,1805.0,1871,,100,d0bf08ff,,1719,,0,3a0ccdff,,sblast91,3,1,2,1,1,299,"{""intensify_action"":2.9,""ink_saver_main"":1,""ink_saver_sub"":0.3,""quick_respawn"":0.3}",furo,5,4,1,0,3,730,"{""swim_speed_up"":2,""ink_saver_sub"":0.6,""sub_power_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""respawn_punisher"":true}",squiclean_a,5,3,2,0,2,334,"{""special_charge_up"":2.3,""ink_saver_main"":1.3,""quick_respawn"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""sub_power_up"":0.3}",nautilus47,3,2,1,0,2,508,"{""swim_speed_up"":1.3,""run_speed_up"":1,""ink_resistance_up"":0.6,""intensify_action"":0.6,""quick_super_jump"":0.6,""special_charge_up"":0.6,""stealth_jump"":true}",spaceshooter_collabo,1,1,0,2,1,615,"{""special_power_up"":1.9,""swim_speed_up"":1,""sub_power_up"":0.9,""special_charge_up"":0.6,""intensify_action"":0.3,""drop_roller"":true}",jetsweeper,0,0,0,1,2,450,"{""special_charge_up"":1.9,""ink_recovery_up"":1.3,""swim_speed_up"":1,""run_speed_up"":0.9,""sub_power_up"":0.3,""sub_resistance_up"":0.3}",sharp_neo,0,0,0,3,0,328,"{""intensify_action"":1.3,""quick_super_jump"":1,""sub_power_up"":1,""ink_saver_main"":0.9,""special_saver"":0.6,""swim_speed_up"":0.3}",barrelspinner,0,0,0,5,0,326,"{""run_speed_up"":1.2,""ink_saver_main"":1,""quick_respawn"":1,""ink_recovery_up"":0.9,""comeback"":true}",gold,#1 Splat Assister,gold,Record-Score Setter,silver,#2 Score Booster,Extreme Jump Battle
Fresh Season 2024,2024-04-02T00:00:00+00:00,7.1.0,event,yagura,nampla,300,alpha,FALSE,,1824.4,4018,,96,3a0ccdff,,3715,,51,d0bf08ff,,sblast91,14,9,5,8,4,978,"{""intensify_action"":3.2,""ink_saver_main"":1,""ink_saver_sub"":0.3,""quick_respawn"":0.3}",liter4k_custom,14,13,1,2,3,874,"{""quick_super_jump"":1.3,""special_power_up"":1.3,""special_charge_up"":1.2,""ink_saver_main"":1,""ink_resistance_up"":0.3,""intensify_action"":0.3,""special_saver"":0.3}",sharp,11,6,5,8,4,1135,"{""swim_speed_up"":0.9,""intensify_action"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""ninja_squid"":true,""stealth_jump"":true}",octoshooter_replica,9,6,3,6,5,1031,"{""ink_saver_main"":1.8,""special_charge_up"":1,""sub_resistance_up"":1,""swim_speed_up"":1,""run_speed_up"":0.3}",clashblaster,18,14,4,9,4,795,"{""swim_speed_up"":1.9,""ink_saver_main"":1,""quick_respawn"":1,""intensify_action"":0.9,""quick_super_jump"":0.6,""sub_resistance_up"":0.3}",order_stringer_replica,9,6,3,4,6,1299,"{""ink_saver_main"":2.2,""quick_super_jump"":1.9,""special_charge_up"":1.3,""run_speed_up"":0.3}",brella24mk1,4,3,1,9,3,1019,"{""ink_saver_main"":2,""run_speed_up"":1.3,""swim_speed_up"":1.2,""special_saver"":0.6,""ink_recovery_up"":0.3,""special_charge_up"":0.3}",hissen,3,1,2,12,2,602,"{""ink_saver_main"":3.3,""special_power_up"":0.6,""ink_recovery_up"":0.3,""special_saver"":0.3,""swim_speed_up"":0.3}",gold,#1 Overall Splatter,gold,#1 Popular Target,gold,Record-Score Setter,Extreme Jump Battle
Fresh Season 2024,2024-04-02T00:00:00+00:00,7.1.0,event,yagura,kinmedai,63,bravo,TRUE,,1771.4,875,,0,d74b31ff,,1191,,100,1ec0adff,,sblast91,2,1,1,3,0,145,"{""intensify_action"":3.2,""ink_saver_main"":1,""ink_saver_sub"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3}",splatroller,2,2,0,3,0,211,"{""special_power_up"":1,""swim_speed_up"":1,""ink_resistance_up"":0.6,""intensify_action"":0.6,""special_saver"":0.6,""ink_saver_main"":0.3,""sub_resistance_up"":0.3,""drop_roller"":true}",order_brush_replica,0,0,0,4,0,287,"{""ink_saver_main"":1.3,""ink_recovery_up"":0.9,""quick_super_jump"":0.6,""ink_saver_sub"":0.3,""intensify_action"":0.3,""run_speed_up"":0.3,""drop_roller"":true,""haunt"":true}",squiclean_b,1,1,0,3,0,232,"{""intensify_action"":1,""swim_speed_up"":0.9,""ink_resistance_up"":0.6,""quick_super_jump"":0.6,""ink_saver_sub"":0.3,""ninja_squid"":true,""stealth_jump"":true}",octoshooter_replica,6,5,1,0,1,349,"{""ink_saver_main"":1.8,""special_charge_up"":1,""sub_resistance_up"":1,""swim_speed_up"":1,""run_speed_up"":0.3}",dynamo_tesla,5,5,0,2,1,388,"{""special_charge_up"":1.3,""ink_saver_main"":1,""swim_speed_up"":0.9,""ink_resistance_up"":0.6,""quick_respawn"":0.6,""sub_power_up"":0.3,""haunt"":true}",dynamo,4,2,2,1,1,221,"{""ink_saver_main"":1.9,""quick_respawn"":0.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",explosher_custom,3,1,2,1,1,233,"{""ink_saver_main"":1.9,""swim_speed_up"":1,""ink_recovery_up"":0.9,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true}",gold,#1 Overall Splatter,gold,#1 Splat Assister,silver,#1 Ground Traveler,Extreme Jump Battle
Fresh Season 2024,2024-04-02T00:00:00+00:00,7.1.0,event,yagura,kinmedai,134,bravo,TRUE,,1753.4,2202,,0,d74b31ff,,2288,,100,1ec0adff,,sblast91,5,5,0,6,1,445,"{""intensify_action"":3.2,""ink_saver_main"":1,""ink_saver_sub"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3}",promodeler_rg,4,2,2,5,4,1160,"{""intensify_action"":1.3,""special_saver"":1.3,""ink_recovery_up"":1,""run_speed_up"":0.9}",screwslosher,3,0,3,6,0,396,"{""ink_saver_main"":1.3,""run_speed_up"":1,""ink_resistance_up"":0.3,""stealth_jump"":true}",splatroller,4,4,0,8,0,201,"{""special_power_up"":1,""swim_speed_up"":1,""ink_resistance_up"":0.6,""intensify_action"":0.6,""special_saver"":0.6,""ink_saver_main"":0.3,""sub_resistance_up"":0.3,""drop_roller"":true}",sblast91,13,11,2,2,3,685,"{""quick_respawn"":1,""quick_super_jump"":1,""special_charge_up"":1,""ink_saver_sub"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3}",explosher,12,1,11,2,3,731,"{""run_speed_up"":1.3,""ink_saver_main"":0.6,""special_charge_up"":0.6,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_power_up"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",hotblaster,11,10,1,4,2,462,"{""intensify_action"":1.3,""quick_respawn"":1.3,""special_power_up"":0.3,""stealth_jump"":true}",maneuver_collabo,4,3,1,3,2,410,"{""ink_recovery_up"":1,""sub_power_up"":1,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""stealth_jump"":true}",gold,#1 Overall Splatter,gold,#1 Enemy Splatter,silver,#1 Tower Stopper,Extreme Jump Battle
Fresh Season 2024,2024-04-02T00:00:00+00:00,7.1.0,bankara_challenge,hoko,ohyo,308,bravo,FALSE,S,,5677,,78,1bbfabff,,5697,,99,c43a6eff,,order_stringer_replica,7,3,4,8,4,1372,"{""run_speed_up"":1.9,""ink_saver_sub"":1.6,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""haunt"":true}",dynamo_tesla,14,10,4,7,5,1853,"{""ink_saver_main"":3.8,""ink_saver_sub"":1.9}",order_spinner_replica,12,9,3,5,5,1351,"{""ink_saver_main"":1.6,""run_speed_up"":1.6,""ink_resistance_up"":0.9,""swim_speed_up"":0.6,""object_shredder"":true}",maneuver,6,4,2,10,2,1101,"{""ink_saver_main"":1.9,""swim_speed_up"":1.3,""ink_recovery_up"":0.6,""ink_saver_sub"":0.6,""sub_power_up"":0.3,""ninja_squid"":true}",dualsweeper,14,12,2,10,2,1240,"{""ink_saver_sub"":1.3,""ink_saver_main"":1,""swim_speed_up"":1,""quick_respawn"":0.6,""special_charge_up"":0.6,""quick_super_jump"":0.3}",dynamo_tesla,13,12,1,3,5,1598,"{""swim_speed_up"":2.8,""ink_saver_main"":1,""quick_super_jump"":0.9,""stealth_jump"":true}",variableroller,7,5,2,6,5,1518,"{""swim_speed_up"":1.2,""run_speed_up"":0.9,""quick_super_jump"":0.6,""last_ditch_effort"":true,""ninja_squid"":true,""stealth_jump"":true}",sharp,3,1,2,7,3,1341,"{""ink_recovery_up"":1.3,""sub_power_up"":1,""intensify_action"":0.3,""run_speed_up"":0.3,""ninja_squid"":true}",gold,#1 Super Jump Spot,gold,Record-Score Setter,gold,#1 Score Booster,
Fresh Season 2024,2024-04-02T00:00:00+00:00,7.1.0,bankara_challenge,hoko,taraport,300,alpha,FALSE,S,,4712,,75,1a1aafff,,4551,,40,e38d24ff,,order_stringer_replica,12,4,8,6,5,1359,"{""run_speed_up"":1.9,""ink_saver_sub"":1.6,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""haunt"":true}",order_spinner_replica,23,13,10,2,6,1369,"{""ink_saver_main"":1.6,""run_speed_up"":1.6,""ink_resistance_up"":0.9,""swim_speed_up"":0.6,""object_shredder"":true}",maneuver_collabo,22,18,4,10,2,989,"{""swim_speed_up"":1.9,""quick_respawn"":1.6,""intensify_action"":0.6,""quick_super_jump"":0.3,""special_charge_up"":0.3,""object_shredder"":true}",bottlegeyser_foil,15,8,7,7,3,995,"{""special_charge_up"":1.6,""swim_speed_up"":1.6,""special_saver"":0.6,""ink_saver_main"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",variableroller,10,7,3,8,4,1436,"{""intensify_action"":1.3,""run_speed_up"":1,""ink_saver_sub"":0.6,""sub_resistance_up"":0.6,""ink_saver_main"":0.3,""quick_respawn"":0.3,""special_charge_up"":0.3,""sub_power_up"":0.3,""last_ditch_effort"":true}",sshooter,8,7,1,11,3,1458,"{""ink_saver_sub"":4.5,""ink_saver_main"":0.6,""run_speed_up"":0.3,""swim_speed_up"":0.3}",hissen,7,7,0,12,2,876,"{""ink_saver_main"":1.3,""intensify_action"":1,""sub_resistance_up"":1,""quick_respawn"":0.6,""ink_resistance_up"":0.3,""sub_power_up"":0.3,""swim_speed_up"":0.3}",sputtery_hue,5,4,1,13,1,781,"{""sub_resistance_up"":0.9,""ink_resistance_up"":0.6,""quick_respawn"":0.6,""ink_recovery_up"":0.3,""ink_saver_sub"":0.3,""last_ditch_effort"":true,""ninja_squid"":true,""stealth_jump"":true}",gold,Record-Score Setter,gold,#1 Score Booster,silver,#1 Rainmaker Carrier,
Fresh Season 2024,2024-04-02T00:00:00+00:00,7.1.0,bankara_challenge,hoko,ohyo,164,alpha,TRUE,S,,2794,,100,c43a6eff,,2423,,0,1bbfabff,,order_stringer_replica,11,8,3,4,3,819,"{""run_speed_up"":1.9,""ink_saver_sub"":1.6,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""haunt"":true}",hokusai_hue,3,3,0,4,2,629,"{""sub_power_up"":1.6,""sub_resistance_up"":1,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""stealth_jump"":true}",jimuwiper,7,4,3,4,2,648,"{""ink_saver_main"":1.3,""quick_respawn"":1,""ink_resistance_up"":0.6,""swim_speed_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3,""stealth_jump"":true}",variableroller,5,4,1,4,2,698,"{""run_speed_up"":1,""special_charge_up"":1,""ink_saver_main"":0.6,""ink_saver_sub"":0.3,""quick_respawn"":0.3,""swim_speed_up"":0.3,""respawn_punisher"":true}",dualsweeper_custom,9,5,4,5,0,739,"{""ink_resistance_up"":1.6,""ink_saver_main"":1,""swim_speed_up"":1,""ink_saver_sub"":0.6,""quick_respawn"":0.6,""ink_recovery_up"":0.3,""special_power_up"":0.3,""sub_power_up"":0.3}",octoshooter_replica,8,8,0,6,2,711,"{""special_charge_up"":2.2,""intensify_action"":1.9,""ink_resistance_up"":0.3,""sub_resistance_up"":0.3,""thermal_ink"":true}",order_slosher_replica,3,1,2,4,2,717,"{""quick_respawn"":2.2,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",order_charger_replica,2,2,0,4,1,256,"{""run_speed_up"":1,""sub_resistance_up"":1,""swim_speed_up"":1,""quick_respawn"":0.6,""ink_saver_sub"":0.3,""special_power_up"":0.3}",gold,#1 Overall Splatter,gold,#1 Enemy Splatter,gold,#1 Turf Inker,
Fresh Season 2024,2024-04-02T00:00:00+00:00,7.1.0,bankara_challenge,hoko,taraport,134,bravo,TRUE,S,,2071,,0,d74b31ff,,2241,,100,1ec0adff,,order_stringer_replica,5,2,3,4,2,651,"{""run_speed_up"":1.9,""ink_saver_sub"":1.6,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""haunt"":true}",variableroller,5,5,0,4,1,572,"{""run_speed_up"":1,""special_charge_up"":1,""ink_saver_main"":0.6,""ink_saver_sub"":0.3,""quick_respawn"":0.3,""swim_speed_up"":0.3,""respawn_punisher"":true}",sharp,5,5,0,6,0,499,"{""special_charge_up"":1,""ink_recovery_up"":0.9,""ink_saver_main"":0.9,""swim_speed_up"":0.9,""last_ditch_effort"":true,""stealth_jump"":true}",hokusai_hue,3,2,1,7,0,349,"{""sub_power_up"":1.6,""sub_resistance_up"":1,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""stealth_jump"":true}",bamboo14mk1,6,6,0,2,1,586,"{""ink_saver_sub"":1.3,""ink_resistance_up"":1,""ink_saver_main"":1,""run_speed_up"":0.9,""swim_speed_up"":0.9,""ink_recovery_up"":0.6}",52gal,11,9,2,5,1,577,"{""run_speed_up"":1.3,""ink_recovery_up"":0.6,""special_power_up"":0.6,""sub_resistance_up"":0.6,""ink_saver_main"":0.3,""special_saver"":0.3,""last_ditch_effort"":true,""ninja_squid"":true}",hissen_hue,7,3,4,3,2,572,"{""swim_speed_up"":1.9,""run_speed_up"":1.3,""quick_respawn"":0.6,""ink_recovery_up"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""ninja_squid"":true}",sshooter,4,3,1,4,1,506,"{""sub_resistance_up"":1,""ink_saver_sub"":0.9,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true,""thermal_ink"":true}",gold,#1 Overall Splatter,gold,#1 Splat Assister,gold,#1 Turf Inker,
Fresh Season 2024,2024-04-02T00:00:00+00:00,7.1.0,bankara_challenge,hoko,ohyo,34,alpha,TRUE,S,,821,,100,e38d24ff,,484,,0,1a1aafff,,order_stringer_replica,1,0,1,0,0,180,"{""run_speed_up"":1.9,""ink_saver_sub"":1.6,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""haunt"":true}",longblaster,2,2,0,0,1,284,"{""intensify_action"":1.9,""swim_speed_up"":1.2,""quick_super_jump"":0.6,""ninja_squid"":true,""object_shredder"":true}",52gal,4,4,0,0,1,241,"{""quick_respawn"":1.2,""ink_saver_main"":1,""ink_resistance_up"":0.6,""swim_speed_up"":0.6,""sub_power_up"":0.3,""comeback"":true,""stealth_jump"":true}",pablo,0,0,0,1,0,116,"{""ink_recovery_up"":1,""quick_respawn"":1,""ink_resistance_up"":0.9,""ink_saver_main"":0.6,""swim_speed_up"":0.6,""ink_saver_sub"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true}",barrelspinner,1,1,0,2,0,189,"{""run_speed_up"":3.5,""swim_speed_up"":1.3,""ink_resistance_up"":0.6,""special_saver"":0.3}",sharp,1,0,1,1,0,125,"{""quick_respawn"":1.6,""swim_speed_up"":1.3,""sub_resistance_up"":0.6,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""stealth_jump"":true}",kelvin525_deco,1,0,1,2,0,68,"{""quick_respawn"":2.2,""run_speed_up"":1.9,""sub_power_up"":1,""sub_resistance_up"":0.6}",liter4k_scope_custom,0,0,0,1,0,102,"{""ink_saver_sub"":1,""quick_respawn"":1,""swim_speed_up"":1,""ink_saver_main"":0.9,""run_speed_up"":0.9,""special_saver"":0.9}",gold,#1 Splat Assister,silver,#1 Checkpoint Breaker,silver,#1 Rainmaker Carrier,
Fresh Season 2024,2024-04-02T00:00:00+00:00,7.1.0,bankara_challenge,hoko,ohyo,200,alpha,TRUE,S,,3288,,100,6325cdff,,3029,,0,bfcd41ff,,order_stringer_replica,11,4,7,3,3,797,"{""run_speed_up"":1.9,""ink_saver_sub"":1.6,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""haunt"":true}",52gal,16,11,5,1,4,1123,"{""quick_respawn"":1.2,""ink_saver_main"":1,""ink_resistance_up"":0.6,""swim_speed_up"":0.6,""sub_power_up"":0.3,""comeback"":true,""stealth_jump"":true}",pablo,9,9,0,2,4,797,"{""ink_recovery_up"":1,""quick_respawn"":1,""ink_resistance_up"":0.9,""ink_saver_main"":0.6,""swim_speed_up"":0.6,""ink_saver_sub"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true}",longblaster,7,4,3,7,1,571,"{""intensify_action"":1.9,""swim_speed_up"":1.2,""quick_super_jump"":0.6,""ninja_squid"":true,""object_shredder"":true}",squiclean_a,5,4,1,6,2,571,"{""swim_speed_up"":1.9,""run_speed_up"":1.3,""ink_saver_sub"":1,""quick_super_jump"":0.6,""ink_saver_main"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3}",spygadget,5,2,3,7,2,917,"{""special_charge_up"":1,""special_power_up"":1,""ink_saver_main"":0.6,""sub_power_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""comeback"":true}",hissen,5,4,1,8,0,688,"{""ink_saver_main"":2.6,""ink_recovery_up"":1.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""run_speed_up"":0.3,""special_power_up"":0.3,""sub_power_up"":0.3}",sputtery,4,3,1,8,2,853,"{""ink_saver_main"":2.3,""special_saver"":1.3,""ink_recovery_up"":0.6,""special_power_up"":0.6,""run_speed_up"":0.3,""special_charge_up"":0.3,""swim_speed_up"":0.3}",gold,#1 Super Jump Spot,gold,Record-Score Setter,gold,#1 Score Booster,
