# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,power,alpha-inked,alpha-ink-percent,alpha-count,alpha-color,alpha-theme,bravo-inked,bravo-ink-percent,bravo-count,bravo-color,bravo-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities,medal1-grade,medal1-name,medal2-grade,medal2-name,medal3-grade,medal3-name,event
Sizzle Season 2024,2024-08-23T00:00:00+00:00,8.1.0,bankara_open,hoko,amabi,300,alpha,FALSE,S+ 8,,5339,,96,bfcd41ff,,5307,,48,6325cdff,,sharp_neo,10,5,5,7,6,1645,"{""special_charge_up"":1.6,""ink_saver_sub"":0.6,""sub_power_up"":0.6,""ink_recovery_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",dynamo,14,9,5,7,5,1166,"{""special_charge_up"":1,""swim_speed_up"":0.9,""special_power_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",carbon_deco,12,9,3,10,5,899,"{""quick_respawn"":3.2,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",moprin,9,8,1,9,4,1629,"{""special_power_up"":1.9,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",nzap85,17,10,7,6,5,1902,"{""special_charge_up"":2.2,""special_power_up"":2,""intensify_action"":0.6,""swim_speed_up"":0.6,""special_saver"":0.3}",dynamo_tesla,10,9,1,7,3,1477,"{""ink_recovery_up"":1.3,""swim_speed_up"":1.3,""ink_saver_main"":0.9,""quick_respawn"":0.6,""sub_resistance_up"":0.6,""last_ditch_effort"":true}",hokusai_hue,16,12,4,11,3,1083,"{""quick_respawn"":1,""sub_power_up"":0.6,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",rapid_elite_deco,7,2,5,7,3,845,"{""swim_speed_up"":1.3,""intensify_action"":1,""ink_saver_main"":0.9,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",gold,#1 Splat Assister,gold,#1 Turf Inker,silver,#1 Checkpoint Breaker,
Sizzle Season 2024,2024-08-23T00:00:00+00:00,8.1.0,bankara_challenge,area,mategai,300,bravo,FALSE,S+ 7,,4943,,56,c43a6eff,,5090,,61,1bbfabff,,wideroller,8,4,4,8,5,1369,"{""special_charge_up"":1.3,""ink_saver_main"":1,""special_power_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",order_roller_replica,14,11,3,8,3,970,"{""ink_resistance_up"":2.9,""ink_recovery_up"":0.6,""run_speed_up"":0.3,""swim_speed_up"":0.3,""ninja_squid"":true}",hydra_custom,6,5,1,3,5,1374,"{""run_speed_up"":3.5,""ink_saver_main"":1.3,""swim_speed_up"":0.6,""quick_super_jump"":0.3}",sshooter_collabo,12,10,2,8,4,1230,"{""swim_speed_up"":1.8,""quick_super_jump"":0.9,""drop_roller"":true,""ninja_squid"":true,""opening_gambit"":true}",52gal,11,9,2,8,5,1181,"{""intensify_action"":1.9,""run_speed_up"":1.3,""ink_recovery_up"":0.6,""special_saver"":0.3,""sub_power_up"":0.3,""swim_speed_up"":0.3,""stealth_jump"":true}",moprin,9,8,1,9,6,1529,"{""quick_respawn"":1.6,""special_charge_up"":0.6,""special_power_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",nautilus47,6,4,2,4,5,1309,"{""ink_saver_sub"":2.6,""ink_saver_main"":2.5,""ink_recovery_up"":0.3,""intensify_action"":0.3}",screwslosher,6,5,1,9,4,1071,"{""special_saver"":2,""quick_respawn"":1,""ink_recovery_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""sub_resistance_up"":0.3}",gold,#1 Splat Assister,silver,First Splat!,silver,#1 Ink Vac User,
Sizzle Season 2024,2024-08-23T00:00:00+00:00,8.1.0,bankara_challenge,area,mategai,283,alpha,TRUE,S+ 7,,5132,,100,a0c937ff,,4947,,0,ba30b0ff,,wideroller,13,7,6,4,6,1565,"{""special_charge_up"":1.3,""ink_saver_main"":1,""special_power_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",moprin_d,12,8,4,5,6,1394,"{""ink_resistance_up"":1.3,""swim_speed_up"":1,""opening_gambit"":true}",jimuwiper_hue,11,10,1,6,4,1002,"{""quick_respawn"":1.2,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",jimuwiper,6,4,2,9,4,1171,"{""quick_respawn"":1.6,""ink_saver_main"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",maneuver_collabo,16,15,1,8,3,1087,"{""quick_respawn"":1.6,""swim_speed_up"":1.6,""quick_super_jump"":0.6,""run_speed_up"":0.6,""special_charge_up"":0.3,""thermal_ink"":true}",furo,5,3,2,7,4,1403,"{""ink_saver_main"":1.6,""ink_saver_sub"":1.3,""special_saver"":1,""sub_power_up"":0.6,""ink_recovery_up"":0.3,""quick_respawn"":0.3,""special_power_up"":0.3,""sub_resistance_up"":0.3}",nzap89,4,2,2,7,4,1261,"{""special_charge_up"":2,""ink_saver_main"":1,""ink_resistance_up"":0.6,""intensify_action"":0.6,""special_power_up"":0.6,""ink_saver_sub"":0.3,""quick_respawn"":0.3,""sub_resistance_up"":0.3}",order_shooter_replica,5,4,1,7,4,1196,"{""swim_speed_up"":1.6,""intensify_action"":0.9,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",gold,#1 Overall Splatter,gold,#1 Splat Zone Guard,gold,#1 Turf Inker,
Sizzle Season 2024,2024-08-23T00:00:00+00:00,8.1.0,bankara_challenge,area,mategai,82,bravo,TRUE,S+ 7,,1689,,0,343bc4ff,,1755,,100,df6624ff,,wideroller,2,2,0,1,2,505,"{""special_charge_up"":1.3,""ink_saver_main"":1,""special_power_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",carbon,1,1,0,5,1,250,"{""quick_super_jump"":1,""swim_speed_up"":1,""special_charge_up"":0.6,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""quick_respawn"":0.3,""sub_power_up"":0.3,""tenacity"":true}",tristringer_collabo,0,0,0,2,2,635,"{""ink_saver_main"":1.6,""special_power_up"":0.9,""run_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""respawn_punisher"":true,""tenacity"":true}",heroshooter_replica,0,0,0,4,0,299,"{""quick_super_jump"":0.9,""swim_speed_up"":0.6,""intensify_action"":0.3,""quick_respawn"":0.3,""special_saver"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",examiner,6,3,3,0,2,526,"{""run_speed_up"":2,""intensify_action"":0.6,""special_power_up"":0.6,""special_saver"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",moprin,4,3,1,1,1,571,"{""swim_speed_up"":1,""ink_resistance_up"":0.6,""special_charge_up"":0.6,""sub_power_up"":0.6,""ink_saver_main"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",bottlegeyser,3,3,0,0,1,273,"{""swim_speed_up"":1.2,""run_speed_up"":1,""ink_resistance_up"":0.6,""sub_resistance_up"":0.6,""quick_super_jump"":0.3,""comeback"":true,""stealth_jump"":true}",52gal,5,3,2,2,1,385,"{""swim_speed_up"":1.5,""ink_saver_sub"":1.3,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",gold,#1 Overall Splatter,gold,#1 Enemy Splatter,silver,#1 Ground Traveler,
Sizzle Season 2024,2024-08-23T00:00:00+00:00,8.1.0,bankara_challenge,area,masaba,80,alpha,TRUE,S+ 7,,1812,,100,9025c6ff,,1198,,0,cfb121ff,,wideroller,6,4,2,0,2,567,"{""special_charge_up"":1.3,""ink_saver_main"":1,""special_power_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",hydra,2,1,1,0,1,286,"{""run_speed_up"":2.6,""swim_speed_up"":1,""ink_resistance_up"":0.6,""intensify_action"":0.6,""ink_saver_main"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3}",dynamo_tesla,3,3,0,1,1,440,"{""quick_respawn"":2.9,""quick_super_jump"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""stealth_jump"":true}",tristringer_collabo,2,2,0,0,1,519,"{""ink_saver_main"":1.6,""special_power_up"":0.9,""run_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""respawn_punisher"":true,""tenacity"":true}",prime,1,1,0,3,1,331,"{""special_charge_up"":2.2,""swim_speed_up"":1,""ink_recovery_up"":0.6,""ink_saver_main"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""comeback"":true}",variableroller,0,0,0,2,1,487,"{""special_power_up"":1.6,""quick_super_jump"":1,""ink_recovery_up"":0.6,""sub_power_up"":0.6,""run_speed_up"":0.3,""special_charge_up"":0.3,""swim_speed_up"":0.3,""thermal_ink"":true}",nova_neo,0,0,0,4,0,161,"{""ink_saver_main"":1.3,""ink_saver_sub"":1,""special_saver"":1,""run_speed_up"":0.6,""ink_recovery_up"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""sub_power_up"":0.3}",order_stringer_replica,0,0,0,2,2,219,"{""run_speed_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""drop_roller"":true,""haunt"":true,""tenacity"":true}",gold,#1 Overall Splatter,gold,#1 Splat Zone Guard,gold,#1 Turf Inker,
Sizzle Season 2024,2024-08-23T00:00:00+00:00,8.1.0,bankara_challenge,area,masaba,216,bravo,TRUE,S+ 7,,3878,,0,c12d74ff,,4229,,100,2cb721ff,,wideroller,4,4,0,8,4,958,"{""special_charge_up"":1.3,""ink_saver_main"":1,""special_power_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",carbon,10,10,0,8,3,717,"{""quick_super_jump"":1,""swim_speed_up"":1,""special_charge_up"":0.6,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""quick_respawn"":0.3,""sub_power_up"":0.3,""tenacity"":true}",furo,9,5,4,6,4,1166,"{""special_saver"":2.3,""swim_speed_up"":0.9,""intensify_action"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""ninja_squid"":true}",explosher,5,2,3,5,3,1037,"{""ink_recovery_up"":1,""swim_speed_up"":1,""ink_saver_main"":0.9,""quick_super_jump"":0.9,""special_power_up"":0.9,""tenacity"":true}",quadhopper_white,17,10,7,7,3,839,"{""quick_respawn"":2.5,""special_saver"":1,""quick_super_jump"":0.6,""special_power_up"":0.6,""stealth_jump"":true}",furo,8,3,5,4,5,1454,"{""swim_speed_up"":1.9,""ink_saver_main"":1.3,""special_charge_up"":0.6,""ink_recovery_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""thermal_ink"":true}",longblaster,13,9,4,6,3,890,"{""ink_saver_main"":2.2,""ink_saver_sub"":2.2,""swim_speed_up"":1,""ink_recovery_up"":0.3}",sharp,6,5,1,4,4,1046,"{""swim_speed_up"":2,""ink_saver_main"":0.3,""intensify_action"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",silver,#2 Super Jump Spot,silver,#1 Ink Vac User,,,
Sizzle Season 2024,2024-08-23T00:00:00+00:00,8.1.0,bankara_challenge,area,masaba,154,alpha,TRUE,S+ 7,,2884,,100,1ec0adff,,2829,,0,d74b31ff,,brella24mk1,6,3,3,2,3,801,"{""ink_saver_main"":1.3,""ink_recovery_up"":1,""special_charge_up"":1,""ink_saver_sub"":0.9,""special_saver"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3}",order_charger_replica,4,4,0,2,1,382,"{""swim_speed_up"":1.3,""ink_saver_main"":0.9,""ink_saver_sub"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""last_ditch_effort"":true,""respawn_punisher"":true}",l3reelgun,6,4,2,2,2,786,"{""special_charge_up"":1.9,""intensify_action"":1,""quick_super_jump"":1,""swim_speed_up"":0.9,""ink_recovery_up"":0.6,""ink_saver_sub"":0.3}",explosher,1,0,1,3,3,915,"{""ink_recovery_up"":1,""swim_speed_up"":1,""ink_saver_main"":0.9,""quick_super_jump"":0.9,""special_power_up"":0.9,""tenacity"":true}",52gal,4,4,0,3,3,703,"{""ink_saver_main"":1.9,""ink_resistance_up"":1,""ink_recovery_up"":0.9,""swim_speed_up"":0.9,""respawn_punisher"":true}",furo,1,1,0,0,4,943,"{""ink_saver_main"":3.5,""special_charge_up"":2.2}",hydra_custom,3,2,1,3,3,638,"{""run_speed_up"":4.5,""quick_super_jump"":0.6,""ink_saver_main"":0.3,""intensify_action"":0.3}",jimuwiper_hue,2,2,0,5,1,545,"{""quick_respawn"":1.2,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",gold,#1 Overall Splatter,gold,#1 Splat Assister,gold,#1 Splat Zone Guard,
Sizzle Season 2024,2024-08-23T00:00:00+00:00,8.1.0,bankara_challenge,area,masaba,238,bravo,TRUE,S+ 7,,3882,,0,d74b31ff,,3701,,100,1ec0adff,,brella24mk1,5,1,4,3,5,991,"{""ink_saver_main"":1.3,""ink_recovery_up"":1,""special_charge_up"":1,""ink_saver_sub"":0.9,""special_saver"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3}",96gal_deco,11,9,2,8,4,998,"{""intensify_action"":1.6,""run_speed_up"":0.9,""ink_resistance_up"":0.6,""special_power_up"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",nzap85,5,2,3,9,3,969,"{""swim_speed_up"":1,""special_charge_up"":0.6,""special_power_up"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",sblast92,9,8,1,10,4,924,"{""quick_respawn"":1.3,""special_charge_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",splatroller,14,12,2,6,3,873,"{""swim_speed_up"":1,""quick_super_jump"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""intensify_action"":0.3,""run_speed_up"":0.3,""sub_resistance_up"":0.3,""drop_roller"":true,""ninja_squid"":true}",liter4k,10,7,3,2,3,798,"{""quick_respawn"":1.9,""run_speed_up"":1.9,""ink_resistance_up"":1.6,""ink_saver_main"":0.3}",sputtery,9,4,5,7,3,854,"{""run_speed_up"":1.9,""sub_power_up"":1.9,""ink_saver_main"":0.9,""drop_roller"":true}",heroshooter_replica,9,7,2,5,4,1176,"{""swim_speed_up"":1.9,""run_speed_up"":1,""special_charge_up"":0.9,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""stealth_jump"":true}",gold,#1 Splat Assister,gold,#1 Super Jump Spot,silver,#1 Ink Consumer,
Sizzle Season 2024,2024-08-23T04:00:00+00:00,8.1.0,bankara_open,area,mahimahi,304,alpha,FALSE,S+ 6,,4439,,97,bfcd41ff,,4824,,86,6325cdff,,liter4k,9,9,0,6,1,857,"{""sub_power_up"":1.3,""ink_resistance_up"":0.6,""ink_saver_main"":0.3,""intensify_action"":0.3,""run_speed_up"":0.3,""sub_resistance_up"":0.3,""object_shredder"":true,""respawn_punisher"":true}",hydra,18,14,4,8,5,1340,"{""run_speed_up"":1.9,""swim_speed_up"":1.3,""ink_resistance_up"":0.3,""intensify_action"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""object_shredder"":true}",sputtery_hue,13,7,6,6,4,1178,"{""ink_saver_sub"":1.6,""quick_respawn"":1.3,""swim_speed_up"":0.9,""quick_super_jump"":0.6,""sub_power_up"":0.3,""ninja_squid"":true}",hydra,11,9,2,7,4,1064,"{""run_speed_up"":3.8,""quick_super_jump"":1.9}",kelvin525,13,13,0,8,6,1237,"{""ink_saver_main"":1.6,""ink_saver_sub"":1.6,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""tenacity"":true}",order_maneuver_replica,11,6,5,11,4,1042,"{""swim_speed_up"":0.9,""intensify_action"":0.6,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",promodeler_rg,3,3,0,12,4,1275,"{""special_charge_up"":1.3,""ink_resistance_up"":1,""sub_power_up"":1,""ink_saver_main"":0.6,""ink_recovery_up"":0.3,""intensify_action"":0.3,""quick_respawn"":0.3,""run_speed_up"":0.3,""special_saver"":0.3,""swim_speed_up"":0.3}",lact450,5,5,0,9,4,1270,"{""ink_saver_sub"":1.9,""ink_recovery_up"":1.6,""swim_speed_up"":1.6,""ink_saver_main"":0.6}",gold,#1 Super Jump Spot,silver,#1 Damage Taker,gold,#1 Splat Zone Inker,
Sizzle Season 2024,2024-08-23T04:00:00+00:00,8.1.0,bankara_open,area,mahimahi,90,bravo,TRUE,S+ 6,,1151,,0,1ec0adff,,1194,,100,d74b31ff,,liter4k,1,1,0,2,0,271,"{""sub_power_up"":1.3,""ink_resistance_up"":0.6,""ink_saver_main"":0.3,""intensify_action"":0.3,""run_speed_up"":0.3,""sub_resistance_up"":0.3,""object_shredder"":true,""respawn_punisher"":true}",liter4k_scope,6,6,0,2,1,398,"{""special_power_up"":2.8,""ink_saver_main"":1.9,""ink_recovery_up"":1}",bold,1,1,0,4,1,287,"{""swim_speed_up"":3.2,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""run_speed_up"":0.3,""ninja_squid"":true}",order_roller_replica,0,0,0,5,0,195,"{""ink_recovery_up"":1.9,""ink_saver_main"":1.9,""swim_speed_up"":0.9,""ninja_squid"":true}",hissen,4,2,2,1,1,365,"{""special_power_up"":1.9,""ink_saver_main"":0.9,""swim_speed_up"":0.6,""quick_super_jump"":0.3,""ninja_squid"":true,""stealth_jump"":true}",splatscope,5,5,0,3,0,255,"{""quick_super_jump"":1.9,""swim_speed_up"":1.6,""ink_recovery_up"":1,""ink_saver_main"":0.9,""sub_resistance_up"":0.3}",rapid,4,4,0,2,1,302,"{""swim_speed_up"":1.3,""quick_super_jump"":0.6,""run_speed_up"":0.6,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",examiner,2,2,0,2,1,272,"{""special_charge_up"":1.9,""run_speed_up"":0.9,""special_power_up"":0.9,""stealth_jump"":true,""tenacity"":true}",silver,#2 Overall Splatter,silver,#1 Damage Taker,silver,#2 Splat Zone Inker,
