# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,power,alpha-inked,alpha-ink-percent,alpha-count,alpha-color,alpha-theme,bravo-inked,bravo-ink-percent,bravo-count,bravo-color,bravo-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities,medal1-grade,medal1-name,medal2-grade,medal2-name,medal3-grade,medal3-name,event
Fresh Season 2026,2026-03-24T02:00:00+00:00,11.1.0,xmatch,area,yagara,317,alpha,FALSE,,1961.0,6447,,93,a0c937ff,,6503,,90,ba30b0ff,,moprin,11,9,2,12,6,1461,"{""quick_respawn"":1.6,""quick_super_jump"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",spaceshooter_collabo,13,8,5,5,6,2057,"{""swim_speed_up"":1.6,""quick_super_jump"":0.6,""ink_recovery_up"":0.3,""intensify_action"":0.3,""run_speed_up"":0.3,""special_power_up"":0.3,""sub_power_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",52gal,13,12,1,11,4,1045,"{""intensify_action"":1.2,""swim_speed_up"":1,""ink_resistance_up"":0.6,""quick_super_jump"":0.6,""run_speed_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",sputtery_hue,9,6,3,9,7,1884,"{""quick_respawn"":1.3,""ink_saver_sub"":0.6,""quick_super_jump"":0.6,""special_saver"":0.6,""swim_speed_up"":0.6,""comeback"":true,""stealth_jump"":true}",furo,13,8,5,6,6,1831,"{""ink_saver_main"":1.2,""special_charge_up"":1,""ink_resistance_up"":0.6,""sub_resistance_up"":0.6,""quick_super_jump"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",bucketslosher,13,12,1,11,3,1243,"{""ink_saver_main"":2.2,""quick_super_jump"":1,""swim_speed_up"":1,""sub_resistance_up"":0.6,""ink_resistance_up"":0.3,""special_power_up"":0.3,""special_saver"":0.3}",wakaba,12,7,5,7,7,2045,"{""sub_power_up"":1.3,""special_charge_up"":1,""ink_saver_sub"":0.6,""quick_super_jump"":0.6,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""last_ditch_effort"":true}",quadhopper_white,13,10,3,11,5,1384,"{""quick_respawn"":1.3,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""quick_super_jump"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",silver,#2 Popular Target,silver,#2 Splat Zone Inker,silver,#1 Splat Zone Hero,
Fresh Season 2026,2026-03-24T02:00:00+00:00,11.1.0,xmatch,area,yagara,300,bravo,FALSE,,1961.0,6636,,83,343bc4ff,,6297,,85,df6624ff,,moprin,3,3,0,8,6,1440,"{""quick_respawn"":1.6,""quick_super_jump"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",barrelspinner,11,10,1,0,9,2121,"{""run_speed_up"":2,""swim_speed_up"":0.9,""ink_recovery_up"":0.6,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""special_saver"":0.3,""last_ditch_effort"":true}",dynamo_tesla,2,1,1,8,8,1919,"{""ink_saver_main"":1.9,""quick_super_jump"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""special_charge_up"":0.3,""comeback"":true,""stealth_jump"":true}",maneuver,6,6,0,7,4,1156,"{""quick_respawn"":1.6,""special_saver"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""comeback"":true,""stealth_jump"":true}",sputtery_hue,12,10,2,5,6,1821,"{""special_power_up"":5.1,""ink_saver_main"":0.3,""quick_super_jump"":0.3}",barrelspinner,10,5,5,5,7,2097,"{""run_speed_up"":2,""ink_resistance_up"":1,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_power_up"":0.3,""sub_power_up"":0.3,""swim_speed_up"":0.3}",nautilus47,8,3,5,5,4,1146,"{""run_speed_up"":2.6,""ink_resistance_up"":0.6,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",campingshelter,8,5,3,6,5,1233,"{""ink_recovery_up"":1.6,""swim_speed_up"":1.5,""ink_saver_main"":1,""sub_power_up"":1,""quick_super_jump"":0.3,""special_charge_up"":0.3}",silver,#2 Splat Zone Inker,silver,#1 Splat Zone Hero,silver,#1 Reefslider User,
Fresh Season 2026,2026-03-24T02:00:00+00:00,11.1.0,xmatch,area,yagara,166,bravo,TRUE,,1961.0,3874,,0,6e04b6ff,,3837,,100,cd510aff,,moprin,4,4,0,5,4,1013,"{""quick_respawn"":1.6,""quick_super_jump"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",nzap85,8,5,3,5,4,1193,"{""special_power_up"":1,""run_speed_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_respawn"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",barrelspinner,4,1,3,3,4,1142,"{""run_speed_up"":3.6,""ink_resistance_up"":0.6,""quick_super_jump"":0.6,""swim_speed_up"":0.6,""intensify_action"":0.3}",quadhopper_white,6,4,2,8,2,526,"{""quick_respawn"":1.5,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""swim_speed_up"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",nzap85,12,10,2,3,3,884,"{""sub_power_up"":1.9,""swim_speed_up"":1.9,""run_speed_up"":0.6,""intensify_action"":0.3,""stealth_jump"":true}",explosher_custom,10,3,7,1,5,1382,"{""ink_saver_main"":3.2,""swim_speed_up"":1,""quick_super_jump"":0.9,""ink_resistance_up"":0.3,""special_saver"":0.3}",moprin,10,5,5,6,3,933,"{""swim_speed_up"":1,""special_saver"":0.9,""ink_resistance_up"":0.6,""intensify_action"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",drivewiper,4,3,1,4,2,638,"{""quick_respawn"":2.8,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",gold,#1 Popular Target,gold,#1 Splat Zone Inker,silver,#1 Splat Zone Hero,
Fresh Season 2026,2026-03-24T02:00:00+00:00,11.1.0,xmatch,area,yagara,300,bravo,FALSE,,1869.2,5423,,74,e38d24ff,,5410,,92,1a1aafff,,moprin,4,2,2,9,6,1235,"{""quick_respawn"":1.6,""quick_super_jump"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",52gal,9,7,2,10,5,1117,"{""swim_speed_up"":1.6,""intensify_action"":0.9,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",quadhopper_black,8,7,1,11,5,1216,"{""quick_respawn"":1.9,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",tristringer_collabo,4,3,1,5,7,1855,"{""special_charge_up"":1.2,""quick_super_jump"":1,""run_speed_up"":1,""swim_speed_up"":1,""ink_recovery_up"":0.6,""ink_resistance_up"":0.6,""special_saver"":0.3}",52gal,22,17,5,8,5,1356,"{""swim_speed_up"":1.9,""intensify_action"":0.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""opening_gambit"":true,""stealth_jump"":true}",campingshelter,10,6,4,1,6,1424,"{""ink_recovery_up"":1.6,""swim_speed_up"":1.5,""ink_saver_main"":1,""sub_power_up"":1,""quick_super_jump"":0.3,""special_charge_up"":0.3}",hydra,8,6,2,4,6,1386,"{""run_speed_up"":2,""swim_speed_up"":0.9,""quick_super_jump"":0.6,""special_charge_up"":0.6,""ink_saver_main"":0.3,""quick_respawn"":0.3,""stealth_jump"":true}",drivewiper,9,6,3,6,7,1244,"{""quick_respawn"":2.8,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",gold,#1 Splat Assister,gold,#1 Splat Zone Inker,silver,#1 Splat Zone Hero,
Fresh Season 2026,2026-03-24T04:00:00+00:00,11.1.0,bankara_challenge,hoko,chozame,287,alpha,TRUE,,,4600,,100,1bbfabff,,4382,,0,c43a6eff,,bold,9,9,0,10,2,972,"{""quick_respawn"":2.8,""swim_speed_up"":0.6,""quick_super_jump"":0.3,""ninja_squid"":true,""stealth_jump"":true}",lact450,18,13,5,7,4,1402,"{""quick_respawn"":4.2,""quick_super_jump"":0.6,""intensify_action"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3}",order_shooter_replica,10,8,2,9,5,1147,"{""swim_speed_up"":1.6,""intensify_action"":0.9,""quick_super_jump"":0.6,""special_saver"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",variableroller,9,8,1,9,3,1079,"{""quick_respawn"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_saver"":0.3,""drop_roller"":true,""haunt"":true,""last_ditch_effort"":true}",heroshooter_replica,16,12,4,9,3,1313,"{""swim_speed_up"":1.9,""special_saver"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",sputtery,5,5,0,12,1,692,"{""sub_power_up"":1.9,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",52gal,10,7,3,7,5,1520,"{""swim_speed_up"":2.9,""sub_resistance_up"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""stealth_jump"":true}",variableroller,13,11,2,11,1,857,"{""swim_speed_up"":1.6,""quick_respawn"":1,""intensify_action"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true}",silver,#1 Checkpoint Breaker,silver,#1 Rainmaker Carrier,silver,#1 Ultra Stamp User,
Fresh Season 2026,2026-03-24T06:00:00+00:00,11.1.0,xmatch,hoko,yunohana,209,alpha,TRUE,,1641.2,3374,,100,ba30b0ff,,2959,,0,a0c937ff,,order_slosher_replica,13,11,2,2,3,952,"{""quick_respawn"":1.6,""swim_speed_up"":1.3,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",hotblaster_custom,12,7,5,3,1,568,"{""swim_speed_up"":2.9,""ink_saver_main"":0.9,""run_speed_up"":0.6,""sub_resistance_up"":0.3,""last_ditch_effort"":true}",kugelschreiber,7,5,2,2,2,866,"{""run_speed_up"":1.9,""special_power_up"":1.3,""ink_resistance_up"":0.6,""intensify_action"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""drop_roller"":true}",sharp_neo,7,5,2,5,3,988,"{""swim_speed_up"":1.6,""quick_super_jump"":0.9,""ink_saver_main"":0.6,""ink_resistance_up"":0.3,""quick_respawn"":0.3,""comeback"":true,""stealth_jump"":true}",moprin,6,4,2,9,3,929,"{""ink_saver_main"":1.9,""special_charge_up"":1.9,""quick_super_jump"":0.6,""ink_recovery_up"":0.3,""stealth_jump"":true}",order_roller_replica,4,4,0,6,2,545,"{""ink_saver_main"":1,""run_speed_up"":1,""stealth_jump"":true}",nzap85,2,1,1,8,2,874,"{""special_charge_up"":1.3,""quick_super_jump"":1,""quick_respawn"":0.9,""ink_recovery_up"":0.6,""swim_speed_up"":0.6,""special_saver"":0.3,""stealth_jump"":true}",splatcharger,3,3,0,5,0,611,"{""ink_saver_sub"":2.6,""special_power_up"":1.9,""quick_super_jump"":0.3,""run_speed_up"":0.3}",gold,#1 Overall Splatter,gold,#1 Enemy Splatter,gold,#1 Popular Target,
Fresh Season 2026,2026-03-24T06:00:00+00:00,11.1.0,xmatch,hoko,gonzui,300,alpha,FALSE,,1641.2,4626,,55,1ec0adff,,4120,,49,d74b31ff,,order_slosher_replica,10,7,3,5,1,908,"{""quick_respawn"":1.6,""swim_speed_up"":1.3,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",variableroller,16,13,3,5,6,1731,"{""special_charge_up"":1.2,""special_saver"":1,""swim_speed_up"":0.9,""quick_respawn"":0.3,""quick_super_jump"":0.3,""comeback"":true,""ninja_squid"":true}",splatroller,12,10,2,6,1,1088,"{""quick_super_jump"":1.5,""swim_speed_up"":0.9,""special_charge_up"":0.3,""ninja_squid"":true,""opening_gambit"":true,""stealth_jump"":true}",52gal,10,8,2,6,3,899,"{""intensify_action"":1.3,""ink_saver_main"":0.6,""ink_saver_sub"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""drop_roller"":true,""ninja_squid"":true}",52gal,5,4,1,11,2,1197,"{""swim_speed_up"":1.9,""intensify_action"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_power_up"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",splatroller,9,9,0,9,3,885,"{""swim_speed_up"":2.9,""sub_power_up"":0.6,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""ninja_squid"":true}",variableroller,5,5,0,9,2,831,"{""special_charge_up"":1.9,""ink_saver_main"":1.6,""sub_power_up"":1,""quick_respawn"":0.3,""swim_speed_up"":0.3}",dentalwiper_mint,4,4,0,9,1,1207,"{""special_charge_up"":1.3,""swim_speed_up"":1,""ink_recovery_up"":0.9,""sub_power_up"":0.6,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",gold,#1 Splat Assister,gold,Record-Score Setter,gold,#1 Score Booster,
Fresh Season 2026,2026-03-24T06:00:00+00:00,11.1.0,xmatch,hoko,gonzui,306,alpha,FALSE,,1641.2,4649,,95,6e04b6ff,,4423,,49,cd510aff,,order_slosher_replica,15,11,4,5,3,1225,"{""quick_respawn"":1.6,""swim_speed_up"":1.3,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",furuido,13,9,4,6,5,1574,"{""ink_saver_main"":1.9,""ink_resistance_up"":1.6,""special_charge_up"":1.3,""ink_recovery_up"":0.3,""ink_saver_sub"":0.3}",nova_neo,12,9,3,9,3,925,"{""swim_speed_up"":1.3,""ink_saver_main"":0.9,""special_charge_up"":0.9,""run_speed_up"":0.6,""drop_roller"":true,""ninja_squid"":true}",quadhopper_white,8,7,1,9,4,925,"{""intensify_action"":1.9,""run_speed_up"":1,""ink_saver_sub"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""sub_resistance_up"":0.3,""thermal_ink"":true}",sputtery_hue,13,11,2,11,3,1047,"{""ink_recovery_up"":1.6,""ink_saver_main"":1.6,""swim_speed_up"":1,""ink_saver_sub"":0.6,""special_power_up"":0.3,""special_saver"":0.3,""sub_power_up"":0.3}",hotblaster_custom,8,8,0,9,3,1121,"{""quick_respawn"":1.3,""intensify_action"":0.9,""swim_speed_up"":0.6,""ink_saver_main"":0.3,""quick_super_jump"":0.3,""special_power_up"":0.3,""comeback"":true,""stealth_jump"":true}",spaceshooter_collabo,7,7,0,9,4,1212,"{""intensify_action"":0.6,""special_charge_up"":0.6,""ink_saver_sub"":0.3,""special_saver"":0.3,""object_shredder"":true,""tenacity"":true,""thermal_ink"":true}",hydra,4,3,1,7,3,1043,"{""swim_speed_up"":1.9,""ink_saver_main"":1.3,""run_speed_up"":0.6,""special_saver"":0.6,""ink_recovery_up"":0.3,""ninja_squid"":true}",gold,#1 Overall Splatter,gold,Record-Score Setter,gold,#1 Score Booster,
Fresh Season 2026,2026-03-24T06:00:00+00:00,11.1.0,bankara_challenge,yagura,masaba,301,bravo,FALSE,,,5527,,14,a0c937ff,,5343,,81,ba30b0ff,,fincent_brnz,7,5,2,4,6,1372,"{""special_charge_up"":0.9,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""run_speed_up"":0.3,""special_saver"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",prime_collabo,8,6,2,6,6,1319,"{""ink_saver_main"":1.9,""special_saver"":1,""sub_power_up"":0.6,""ink_recovery_up"":0.3,""ink_saver_sub"":0.3,""run_speed_up"":0.3,""swim_speed_up"":0.3,""thermal_ink"":true}",furo,5,4,1,3,7,2027,"{""ink_saver_main"":3.8,""special_charge_up"":1.9}",fincent_hue,3,3,0,9,4,809,"{""quick_super_jump"":1.6,""ink_saver_main"":1,""swim_speed_up"":0.9,""ink_saver_sub"":0.6,""ink_recovery_up"":0.3,""intensify_action"":0.3,""thermal_ink"":true}",jetsweeper_cobr,12,9,3,5,6,1295,"{""run_speed_up"":1.6,""sub_power_up"":1,""swim_speed_up"":1,""ink_resistance_up"":0.6,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3}",prime_collabo,8,6,2,0,7,1475,"{""ink_saver_sub"":3.8,""intensify_action"":0.6,""ink_recovery_up"":0.3,""last_ditch_effort"":true}",momiji,5,2,3,7,6,1227,"{""ink_saver_main"":1.9,""special_charge_up"":1.9,""swim_speed_up"":1.9}",lact450_deco,6,5,1,6,6,1346,"{""quick_respawn"":1.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""comeback"":true,""stealth_jump"":true}",gold,#1 Splat Assister,silver,#2 Overall Splatter,silver,#2 Turf Inker,
Fresh Season 2026,2026-03-24T06:00:00+00:00,11.1.0,bankara_challenge,yagura,masaba,213,bravo,TRUE,,,3079,,0,ba30b0ff,,3598,,100,a0c937ff,,bold,4,4,0,8,3,732,"{""quick_respawn"":2.8,""swim_speed_up"":0.6,""quick_super_jump"":0.3,""ninja_squid"":true,""stealth_jump"":true}",rapid_elite,4,2,2,5,2,684,"{""ink_saver_main"":1.6,""run_speed_up"":1.3,""intensify_action"":1,""ink_saver_sub"":0.9,""quick_respawn"":0.6,""sub_power_up"":0.3}",sshooter,8,8,0,9,1,787,"{""ink_saver_main"":1.9,""quick_respawn"":1.9,""swim_speed_up"":1.9}",rpen_5h,2,0,2,6,2,876,"{""intensify_action"":1.6,""special_saver"":0.9,""ink_saver_main"":0.6,""quick_respawn"":0.3,""quick_super_jump"":0.3,""drop_roller"":true,""opening_gambit"":true}",tristringer,13,7,6,3,5,979,"{""run_speed_up"":1.9,""ink_saver_main"":1,""intensify_action"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""thermal_ink"":true}",hotblaster_custom,17,7,10,3,4,665,"{""special_charge_up"":3,""ink_saver_sub"":1.5,""ink_saver_main"":0.9}",order_roller_replica,13,11,2,6,3,895,"{""swim_speed_up"":3.7,""ink_saver_sub"":1,""ninja_squid"":true}",tristringer_collabo,4,3,1,2,4,1059,"{""special_saver"":5.1,""ink_saver_sub"":0.3,""sub_power_up"":0.3}",gold,#1 Score Booster,silver,#1 Checkpoint Breaker,silver,#1 Ultra Stamp User,
