# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,power,alpha-inked,alpha-ink-percent,alpha-count,alpha-color,alpha-theme,bravo-inked,bravo-ink-percent,bravo-count,bravo-color,bravo-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities,medal1-grade,medal1-name,medal2-grade,medal2-name,medal3-grade,medal3-name,event
Drizzle Season 2024,2024-10-09T02:00:00+00:00,9.1.0,bankara_challenge,area,kajiki,300,bravo,FALSE,S,,,,70,a0c938ff,,,,88,ba30b0ff,,rpen_5h,14,8,6,4,6,1639,"{""special_power_up"":1.6,""special_charge_up"":0.9,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""object_shredder"":true}",splatroller,19,15,4,9,5,1206,"{""quick_super_jump"":1.3,""swim_speed_up"":1.2,""ink_resistance_up"":0.9,""sub_resistance_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",order_maneuver_replica,11,6,5,6,5,1387,"{""quick_respawn"":3.2,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""swim_speed_up"":0.3,""stealth_jump"":true}",carbon_deco,11,7,4,9,3,732,"{""run_speed_up"":1.3,""special_saver"":1,""special_charge_up"":0.9,""ink_saver_main"":0.6,""swim_speed_up"":0.6,""sub_resistance_up"":0.3,""ninja_squid"":true}",jetsweeper,14,11,3,6,6,1121,"{""special_saver"":3.5,""quick_super_jump"":0.9,""special_power_up"":0.3,""stealth_jump"":true}",rapid,12,8,4,8,7,1526,"{""special_charge_up"":2,""ink_saver_main"":1.2,""swim_speed_up"":0.9,""special_power_up"":0.3,""special_saver"":0.3,""tenacity"":true}",lact450_deco,5,1,4,9,4,1262,"{""ink_saver_main"":1.8,""ink_recovery_up"":1.6,""ink_saver_sub"":1,""intensify_action"":1,""special_saver"":0.3}",carbon_deco,8,8,0,13,2,769,"{""swim_speed_up"":3.8,""run_speed_up"":1,""quick_respawn"":0.9}",gold,#1 Splat Zone Guard,gold,#1 Super Jump Spot,gold,#1 Turf Inker,
Drizzle Season 2024,2024-10-09T02:00:00+00:00,9.1.0,bankara_challenge,area,amabi,228,alpha,TRUE,S,,,,100,df6625ff,,,,0,353cc5ff,,rpen_5h,12,9,3,2,4,1200,"{""special_power_up"":1.6,""special_charge_up"":0.9,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""object_shredder"":true}",momiji,8,2,6,4,4,1102,"{""ink_saver_sub"":1,""special_charge_up"":1,""swim_speed_up"":1,""ink_resistance_up"":0.9,""ink_saver_main"":0.9,""run_speed_up"":0.9}",bold_neo,6,3,3,4,7,1182,"{""special_power_up"":1.6,""special_charge_up"":1.3,""special_saver"":1.2,""quick_super_jump"":0.6,""tenacity"":true}",octoshooter_replica,5,3,2,8,4,945,"{""quick_respawn"":1.9,""swim_speed_up"":1.9,""ink_recovery_up"":0.9,""object_shredder"":true}",sharp,11,8,3,5,5,1345,"{""quick_respawn"":2,""swim_speed_up"":1.6,""ink_resistance_up"":0.6,""special_saver"":0.6,""quick_super_jump"":0.3,""special_charge_up"":0.3,""sub_power_up"":0.3}",hydra,6,2,4,4,5,1047,"{""ink_saver_main"":1,""run_speed_up"":1,""special_charge_up"":1,""quick_super_jump"":0.9,""special_saver"":0.9,""swim_speed_up"":0.9}",gaen_ff_custom,7,4,3,6,4,1036,"{""sub_resistance_up"":1,""ink_recovery_up"":0.9,""ink_saver_sub"":0.9,""intensify_action"":0.3,""special_power_up"":0.3,""drop_roller"":true,""opening_gambit"":true}",liter4k,5,4,1,2,4,946,"{""swim_speed_up"":1,""ink_recovery_up"":0.6,""ink_saver_main"":0.6,""quick_super_jump"":0.6,""sub_resistance_up"":0.6,""ink_resistance_up"":0.3,""last_ditch_effort"":true,""respawn_punisher"":true}",gold,#1 Overall Splatter,gold,#1 Splat Zone Guard,gold,#1 Splat Zone Inker,
Drizzle Season 2024,2024-10-09T02:00:00+00:00,9.1.0,bankara_challenge,area,amabi,71,alpha,TRUE,S,,,,100,df6625ff,,,,0,353cc5ff,,rpen_5h,8,5,3,0,1,357,"{""special_power_up"":1.6,""special_charge_up"":0.9,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""object_shredder"":true}",momiji,5,2,3,2,1,420,"{""ink_saver_sub"":1,""special_charge_up"":1,""swim_speed_up"":1,""ink_resistance_up"":0.9,""ink_saver_main"":0.9,""run_speed_up"":0.9}",octoshooter_replica,6,4,2,1,0,252,"{""quick_respawn"":1.9,""swim_speed_up"":1.9,""ink_recovery_up"":0.9,""object_shredder"":true}",bold_neo,1,1,0,1,2,400,"{""special_power_up"":1.6,""special_charge_up"":1.3,""special_saver"":1.2,""quick_super_jump"":0.6,""tenacity"":true}",splatroller,2,2,0,4,0,269,"{""swim_speed_up"":1,""quick_super_jump"":0.9,""run_speed_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""quick_respawn"":0.3,""special_power_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",splatroller_collabo,1,1,0,3,1,212,"{""special_saver"":1.9,""ink_saver_main"":1.6,""sub_power_up"":1.6,""ink_recovery_up"":0.6}",order_stringer_replica,0,0,0,2,2,373,"{""ink_recovery_up"":2,""ink_saver_main"":1.5,""special_charge_up"":0.9,""sub_resistance_up"":0.3,""object_shredder"":true}",sshooter_collabo,1,1,0,3,1,343,"{""ink_saver_sub"":1,""swim_speed_up"":1,""ink_recovery_up"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",gold,#1 Overall Splatter,gold,#1 Splat Zone Guard,gold,#1 Splat Zone Inker,
Drizzle Season 2024,2024-10-09T02:00:00+00:00,9.1.0,bankara_challenge,area,kajiki,263,alpha,TRUE,S,,,,100,cd510aff,,,,0,6f04b6ff,,rpen_5h,12,3,9,2,6,1387,"{""special_power_up"":1.6,""special_charge_up"":0.9,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""object_shredder"":true}",octoshooter_replica,13,11,2,11,3,970,"{""quick_respawn"":1.9,""swim_speed_up"":1.9,""ink_recovery_up"":0.9,""object_shredder"":true}",explosher_custom,12,8,4,3,8,1590,"{""special_charge_up"":4.1,""ink_saver_main"":1,""intensify_action"":0.3,""run_speed_up"":0.3}",momiji,12,5,7,6,6,1471,"{""ink_saver_sub"":1,""special_charge_up"":1,""swim_speed_up"":1,""ink_resistance_up"":0.9,""ink_saver_main"":0.9,""run_speed_up"":0.9}",hissen_hue,14,10,4,5,4,1384,"{""ink_recovery_up"":1.9,""quick_super_jump"":1.9,""swim_speed_up"":1.9}",momiji,7,2,5,6,6,1355,"{""sub_power_up"":1.6,""swim_speed_up"":1.6,""ink_saver_sub"":1,""ink_recovery_up"":0.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3}",examiner,5,1,4,7,6,1202,"{""ink_saver_main"":2.2,""special_charge_up"":1.3,""quick_respawn"":1,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3}",pablo,10,7,3,10,6,1464,"{""ink_saver_sub"":2.8,""sub_power_up"":0.6,""ink_recovery_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",gold,#1 Splat Assister,gold,#1 Super Jump Spot,silver,#1 Tacticooler User,
Drizzle Season 2024,2024-10-09T02:00:00+00:00,9.1.0,bankara_challenge,area,kajiki,123,bravo,TRUE,S,,,,0,353cc5ff,,,,100,df6625ff,,rpen_5h,2,1,1,4,2,398,"{""special_power_up"":1.6,""special_charge_up"":0.9,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""object_shredder"":true}",kugelschreiber,5,4,1,2,3,651,"{""run_speed_up"":1.6,""special_power_up"":1.6,""special_charge_up"":1.2,""swim_speed_up"":0.3,""drop_roller"":true}",sputtery_hue,4,4,0,5,2,643,"{""swim_speed_up"":1.9,""ink_saver_main"":1.6,""quick_super_jump"":1,""ink_resistance_up"":0.6,""quick_respawn"":0.3,""special_charge_up"":0.3}",explosher_custom,3,2,1,4,1,715,"{""ink_saver_main"":1,""quick_super_jump"":1,""ink_saver_sub"":0.9,""special_charge_up"":0.9,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""respawn_punisher"":true}",bold,7,7,0,2,3,801,"{""ink_saver_sub"":1.6,""swim_speed_up"":1,""intensify_action"":0.6,""ink_resistance_up"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""ninja_squid"":true}",sshooter_collabo,5,2,3,4,1,582,"{""ink_saver_sub"":1.9,""special_charge_up"":1.9,""sub_power_up"":1.9}",maneuver_collabo,5,4,1,3,2,682,"{""quick_super_jump"":2.2,""quick_respawn"":1.6,""special_saver"":0.6,""sub_resistance_up"":0.3,""haunt"":true}",examiner,4,2,2,2,2,466,"{""run_speed_up"":1.3,""special_charge_up"":1.3,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",gold,#1 Splat Assister,gold,#1 Splat Zone Guard,gold,#1 Super Jump Spot,
Drizzle Season 2024,2024-10-09T02:00:00+00:00,9.1.0,bankara_challenge,area,kajiki,106,alpha,TRUE,S,,,,100,1a1aafff,,,,0,e38d25ff,,rpen_5h,6,3,3,1,1,460,"{""special_power_up"":1.6,""special_charge_up"":0.9,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""object_shredder"":true}",momiji,6,5,1,3,2,602,"{""quick_respawn"":1,""ink_recovery_up"":0.9,""ink_saver_main"":0.9,""swim_speed_up"":0.9,""ninja_squid"":true,""stealth_jump"":true}",hydra_custom,4,3,1,0,2,589,"{""ink_saver_main"":1,""intensify_action"":1,""sub_resistance_up"":1,""ink_saver_sub"":0.9,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""special_charge_up"":0.3,""special_saver"":0.3}",gaen_ff,5,3,2,3,1,424,"{""quick_respawn"":2,""ink_recovery_up"":0.6,""ink_saver_main"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",hydra,3,3,0,2,2,575,"{""ink_saver_main"":1.6,""run_speed_up"":1.6,""sub_resistance_up"":0.6,""swim_speed_up"":0.6,""special_charge_up"":0.3,""ninja_squid"":true}",bold,3,3,0,4,2,625,"{""special_charge_up"":2.2,""ink_recovery_up"":1,""ink_saver_main"":0.3,""special_power_up"":0.3,""stealth_jump"":true}",hissen_hue,1,1,0,5,0,428,"{""special_saver"":1.9,""intensify_action"":1,""special_charge_up"":0.9,""sub_power_up"":0.9,""respawn_punisher"":true}",rpen_5h,2,0,2,3,2,524,"{""special_charge_up"":2.9,""special_power_up"":1.9,""quick_respawn"":0.3,""run_speed_up"":0.3,""special_saver"":0.3}",gold,#1 Overall Splatter,gold,#1 Splat Assister,silver,#2 Splat Zone Guard,
Drizzle Season 2024,2024-10-09T02:00:00+00:00,9.1.0,bankara_challenge,area,kajiki,216,alpha,TRUE,A-,,3257,,100,a0c937ff,,3471,,0,ba30b0ff,,liter4k_scope,3,2,1,3,2,617,"{""ink_saver_main"":2.6,""ink_resistance_up"":0.6,""run_speed_up"":0.6,""quick_respawn"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""haunt"":true}",variableroller,13,13,0,8,3,1059,"{""intensify_action"":1,""ink_saver_main"":0.9,""swim_speed_up"":0.9,""special_saver"":0.6,""special_charge_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",variableroller,6,4,2,4,3,894,"{""ink_recovery_up"":1.9,""ink_saver_main"":1.3,""special_saver"":0.6,""intensify_action"":0.3,""quick_super_jump"":0.3,""sub_power_up"":0.3,""ninja_squid"":true}",sputtery,6,5,1,5,2,687,"{""intensify_action"":1.6,""quick_respawn"":1,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true}",maneuver_collabo,8,7,1,6,4,1116,"{""ink_saver_sub"":1.9,""sub_power_up"":1.3,""swim_speed_up"":1,""ink_resistance_up"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3}",promodeler_rg,5,4,1,5,7,1206,"{""special_charge_up"":1.9,""special_power_up"":1,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_respawn"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""tenacity"":true}",variableroller,4,2,2,7,3,734,"{""swim_speed_up"":0.9,""quick_super_jump"":0.6,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""special_saver"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",dentalwiper_sumi,5,5,0,7,0,415,"{""run_speed_up"":1.3,""special_charge_up"":1,""ink_recovery_up"":0.3,""quick_respawn"":0.3,""special_power_up"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""drop_roller"":true}",gold,#1 Super Jump Spot,silver,#2 Splat Assister,silver,#2 Splat Zone Inker,
Drizzle Season 2024,2024-10-09T02:00:00+00:00,9.1.0,bankara_challenge,area,kajiki,147,bravo,TRUE,S,,,,0,a0c938ff,,,,100,ba30b0ff,,rpen_5h,4,3,1,2,3,781,"{""special_power_up"":1.6,""special_charge_up"":0.9,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""object_shredder"":true}",drivewiper_deco,4,4,0,4,3,924,"{""sub_resistance_up"":0.9,""ink_saver_sub"":0.6,""intensify_action"":0.6,""ink_resistance_up"":0.3,""swim_speed_up"":0.3,""drop_roller"":true,""haunt"":true,""tenacity"":true}",maneuver,4,4,0,5,3,814,"{""quick_respawn"":2.9,""special_charge_up"":0.6,""special_saver"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""stealth_jump"":true}",promodeler_rg,2,2,0,4,3,892,"{""quick_respawn"":1.9,""quick_super_jump"":1.9,""special_charge_up"":1.9}",sharp_neo,5,5,0,2,3,892,"{""ink_saver_main"":1.3,""quick_super_jump"":1.2,""intensify_action"":1,""sub_power_up"":1,""quick_respawn"":0.9,""run_speed_up"":0.3}",dentalwiper_sumi,6,5,1,4,1,781,"{""ink_saver_sub"":0.6,""quick_respawn"":0.6,""quick_super_jump"":0.6,""swim_speed_up"":0.6,""intensify_action"":0.3,""opening_gambit"":true,""stealth_jump"":true,""thermal_ink"":true}",lact450,5,4,1,5,2,697,"{""special_charge_up"":1.6,""quick_respawn"":1,""special_saver"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",dentalwiper_sumi,3,1,2,3,2,638,"{""quick_respawn"":1,""swim_speed_up"":1,""quick_super_jump"":0.6,""run_speed_up"":0.6,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""special_power_up"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",gold,#1 Overall Splatter,gold,#1 Popular Target,gold,#1 Splat Zone Inker,
Drizzle Season 2024,2024-10-09T02:00:00+00:00,9.1.0,bankara_challenge,area,amabi,147,bravo,TRUE,S,,,,0,ba30b0ff,,,,100,a0c938ff,,rpen_5h,5,1,4,4,2,596,"{""special_power_up"":1.6,""special_charge_up"":0.9,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""object_shredder"":true}",order_maneuver_replica,6,5,1,4,2,831,"{""quick_respawn"":1.3,""special_power_up"":1.3,""ink_saver_main"":1,""quick_super_jump"":0.6}",hydra,4,4,0,2,3,540,"{""ink_recovery_up"":1,""run_speed_up"":1,""special_power_up"":1}",nzap85,3,3,0,4,3,687,"{""special_charge_up"":1,""intensify_action"":0.6,""run_speed_up"":0.6,""special_power_up"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",spygadget_sorella,7,5,2,2,2,746,"{""ink_saver_sub"":1.6,""run_speed_up"":1,""special_saver"":0.9,""ink_saver_main"":0.6,""ink_recovery_up"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true}",sharp_neo,3,2,1,4,2,872,"{""quick_super_jump"":1.6,""intensify_action"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""run_speed_up"":0.3,""swim_speed_up"":0.3,""drop_roller"":true,""ninja_squid"":true}",hotblaster,5,5,0,3,2,565,"{""quick_respawn"":2.3,""ink_resistance_up"":0.9,""sub_resistance_up"":0.6,""swim_speed_up"":0.6,""special_saver"":0.3,""stealth_jump"":true}",hissen_hue,4,2,2,4,0,431,"{""swim_speed_up"":1.3,""ink_recovery_up"":1,""ink_saver_main"":1,""run_speed_up"":0.3,""sub_resistance_up"":0.3}",gold,#1 Splat Assister,silver,#2 Overall Splatter,silver,#2 Splat Zone Inker,
Drizzle Season 2024,2024-10-09T02:00:00+00:00,9.1.0,bankara_challenge,area,amabi,270,alpha,TRUE,A-,,4172,,100,343bc4ff,,4372,,0,df6624ff,,liter4k_scope,7,4,3,2,5,938,"{""ink_saver_main"":2.6,""ink_resistance_up"":0.6,""run_speed_up"":0.6,""quick_respawn"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""haunt"":true}",sputtery,15,12,3,7,2,759,"{""intensify_action"":1.6,""quick_respawn"":1,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true}",furo,13,7,6,4,6,1509,"{""ink_recovery_up"":1.3,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""special_charge_up"":0.3,""special_power_up"":0.3,""special_saver"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""haunt"":true}",variableroller,15,11,4,10,2,966,"{""intensify_action"":1,""ink_saver_main"":0.9,""swim_speed_up"":0.9,""special_saver"":0.6,""special_charge_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",promodeler_rg,14,11,3,9,2,831,"{""ink_saver_main"":1.3,""sub_resistance_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""intensify_action"":0.3,""quick_respawn"":0.3,""special_charge_up"":0.3,""ninja_squid"":true,""stealth_jump"":true}",nzap85,7,5,2,10,2,1021,"{""ink_saver_sub"":1.9,""special_power_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""special_charge_up"":0.3,""sub_power_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",lact450_deco,5,4,1,8,4,1195,"{""ink_saver_main"":1.3,""special_charge_up"":1,""ink_recovery_up"":0.3,""ink_saver_sub"":0.3,""quick_respawn"":0.3,""special_power_up"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true}",52gal,4,3,1,7,6,1325,"{""ink_saver_main"":1.6,""special_charge_up"":1.2,""special_saver"":1,""sub_power_up"":1,""special_power_up"":0.6,""ink_resistance_up"":0.3}",silver,#2 Super Jump Spot,silver,#2 Splat Zone Inker,silver,#1 Wave Breaker User,
