# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,power,alpha-inked,alpha-ink-percent,alpha-count,alpha-color,alpha-theme,bravo-inked,bravo-ink-percent,bravo-count,bravo-color,bravo-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities,medal1-grade,medal1-name,medal2-grade,medal2-name,medal3-grade,medal3-name,event
Drizzle Season 2023,2023-10-07T00:00:00+00:00,5.0.1,bankara_open,area,mategai,300,alpha,FALSE,S+ 0,,4513,,98,df6624ff,,4172,,52,343bc4ff,,96gal_deco,11,10,1,8,3,1007,"{""quick_respawn"":1.6,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",longblaster,19,13,6,6,3,1103,"{""intensify_action"":2.2,""quick_super_jump"":0.6,""swim_speed_up"":0.6,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",sshooter,16,12,4,7,4,1070,"{""swim_speed_up"":1,""special_saver"":0.9,""run_speed_up"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""special_charge_up"":0.3,""sub_power_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",heroshooter_replica,11,9,2,7,5,1333,"{""swim_speed_up"":1.3,""intensify_action"":0.9,""ink_resistance_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",barrelspinner,10,4,6,11,4,1189,"{""run_speed_up"":1.9,""special_charge_up"":1.9,""swim_speed_up"":1.9}",rapid_deco,11,8,3,11,3,1104,"{""ink_saver_sub"":1.3,""swim_speed_up"":1.3,""intensify_action"":0.6,""special_power_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",sshooter_collabo,10,6,4,10,2,761,"{""ink_saver_main"":1.9,""quick_respawn"":1.9,""special_charge_up"":1.9}",moprin,10,10,0,12,5,1118,"{""swim_speed_up"":1.6,""ink_recovery_up"":1,""run_speed_up"":1,""ink_saver_main"":0.9,""special_saver"":0.9,""quick_respawn"":0.3}",gold,#1 Popular Target,gold,#1 Splat Zone Inker,silver,#1 Kraken Royale User,
Drizzle Season 2023,2023-10-07T00:00:00+00:00,5.0.1,bankara_open,area,mategai,85,alpha,TRUE,S,,1759,,100,df6624ff,,1560,,0,343bc4ff,,sshooter_collabo,6,5,1,1,0,318,"{""swim_speed_up"":1.8,""quick_respawn"":1.6,""special_saver"":0.3,""comeback"":true,""stealth_jump"":true}",explosher,6,1,5,0,1,458,"{""ink_saver_main"":3.8,""ink_resistance_up"":1,""swim_speed_up"":0.6,""ink_saver_sub"":0.3}",dualsweeper,5,5,0,1,1,407,"{""swim_speed_up"":1,""ink_saver_main"":0.6,""ink_saver_sub"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",kugelschreiber,4,2,2,0,2,576,"{""run_speed_up"":2,""special_power_up"":1.2,""intensify_action"":0.6,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""drop_roller"":true}",sshooter_collabo,1,1,0,3,1,400,"{""sub_power_up"":1.3,""ink_recovery_up"":1,""ink_saver_main"":1,""ink_resistance_up"":0.9,""ink_saver_sub"":0.9,""quick_super_jump"":0.3,""run_speed_up"":0.3}",sputtery,1,1,0,3,1,373,"{""quick_respawn"":1.6,""swim_speed_up"":1.2,""sub_power_up"":0.6,""quick_super_jump"":0.3,""comeback"":true,""stealth_jump"":true}",sshooter,0,0,0,2,2,397,"{""ink_saver_main"":0.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_saver"":0.3,""last_ditch_effort"":true,""ninja_squid"":true,""stealth_jump"":true}",bucketslosher,0,0,0,5,0,390,"{""ink_saver_sub"":1,""quick_respawn"":0.9,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",gold,#1 Overall Splatter,gold,#1 Popular Target,gold,#1 Splat Zone Inker,
Drizzle Season 2023,2023-10-07T00:00:00+00:00,5.0.1,bankara_open,area,takaashi,115,alpha,TRUE,S+ 0,,2399,,100,1bbfabff,,2349,,0,c43a6eff,,sshooter_collabo,5,3,2,4,1,561,"{""quick_respawn"":1.6,""swim_speed_up"":0.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",rapid_deco,7,5,2,4,0,387,"{""ink_saver_sub"":1.3,""swim_speed_up"":1.3,""intensify_action"":0.6,""special_power_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""stealth_jump"":true}",jetsweeper,5,4,1,0,2,735,"{""ink_saver_main"":2.3,""intensify_action"":0.9,""ink_saver_sub"":0.6,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""thermal_ink"":true}",hydra,5,5,0,1,3,716,"{""run_speed_up"":1.9,""quick_super_jump"":1.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""special_saver"":0.3,""drop_roller"":true}",longblaster,7,5,2,4,2,513,"{""quick_respawn"":1.2,""ink_saver_sub"":1,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""drop_roller"":true,""tenacity"":true}",nzap85,3,1,2,4,2,709,"{""ink_saver_sub"":2.2,""sub_power_up"":1.3,""run_speed_up"":0.6,""ink_resistance_up"":0.3,""sub_resistance_up"":0.3,""drop_roller"":true}",variableroller,3,1,2,3,3,623,"{""special_charge_up"":1.9,""swim_speed_up"":1.9,""sub_power_up"":0.9,""ninja_squid"":true}",moprin,2,2,0,6,2,504,"{""quick_super_jump"":1.6,""ink_recovery_up"":0.6,""ink_resistance_up"":0.6,""special_power_up"":0.6,""special_saver"":0.3,""ninja_squid"":true,""stealth_jump"":true}",gold,#1 Splat Assister,silver,#1 Ink Consumer,silver,First Splat!,
Drizzle Season 2023,2023-10-07T02:00:00+00:00,5.0.1,bankara_challenge,yagura,yagara,300,alpha,FALSE,S,,,,65,1ec0adff,,,,34,d84b32ff,,sshooter_collabo,5,3,2,10,5,1138,"{""quick_respawn"":1.9,""ink_saver_sub"":0.6,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""comeback"":true,""stealth_jump"":true}",hokusai,17,15,2,7,4,1073,"{""sub_resistance_up"":0.9,""ink_resistance_up"":0.6,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""sub_power_up"":0.3,""drop_roller"":true,""last_ditch_effort"":true,""ninja_squid"":true}",clashblaster,15,10,5,9,2,872,"{""ink_saver_sub"":1.3,""swim_speed_up"":1.3,""quick_respawn"":1,""quick_super_jump"":0.9,""ink_resistance_up"":0.6,""intensify_action"":0.3,""run_speed_up"":0.3}",sputtery_hue,12,10,2,9,5,1257,"{""ink_recovery_up"":1.3,""special_charge_up"":0.6,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_saver"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",furo,10,6,4,12,3,884,"{""swim_speed_up"":1.9,""quick_super_jump"":1.3,""special_power_up"":1,""run_speed_up"":0.9,""ink_saver_main"":0.3,""sub_resistance_up"":0.3}",sharp_neo,12,12,0,8,7,1780,"{""special_power_up"":1,""sub_power_up"":1,""run_speed_up"":0.6,""swim_speed_up"":0.3,""object_shredder"":true}",nzap85,13,10,3,8,4,1114,"{""ink_saver_sub"":2.9,""special_charge_up"":1.9,""quick_respawn"":0.6,""intensify_action"":0.3}",prime_collabo,9,7,2,10,3,794,"{""ink_resistance_up"":1.3,""quick_respawn"":1.3,""special_saver"":1.3,""sub_resistance_up"":0.6,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""intensify_action"":0.3,""swim_speed_up"":0.3}",gold,#1 Super Jump Spot,silver,#1 Checkpoint Breaker,silver,#1 Triple Inkstrike User,
Drizzle Season 2023,2023-10-07T02:00:00+00:00,5.0.1,bankara_challenge,yagura,gonzui,300,alpha,FALSE,S,,,,51,1bbfabff,,,,42,c43a6fff,,sshooter_collabo,9,7,2,9,5,1312,"{""quick_respawn"":1.9,""ink_saver_sub"":0.6,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""comeback"":true,""stealth_jump"":true}",hokusai,16,12,4,7,2,934,"{""sub_resistance_up"":0.9,""ink_resistance_up"":0.6,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""sub_power_up"":0.3,""drop_roller"":true,""last_ditch_effort"":true,""ninja_squid"":true}",sputtery_hue,12,9,3,6,6,1389,"{""ink_recovery_up"":1.3,""special_charge_up"":0.6,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_saver"":0.3,""swim_speed_up"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",rapid_elite_deco,6,3,3,6,3,561,"{""run_speed_up"":2.5,""special_charge_up"":1.3,""sub_resistance_up"":1,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""swim_speed_up"":0.3}",clashblaster,10,9,1,8,3,672,"{""special_charge_up"":2.3,""ink_saver_main"":0.6,""special_power_up"":0.6,""ink_recovery_up"":0.3,""intensify_action"":0.3,""special_saver"":0.3,""swim_speed_up"":0.3,""comeback"":true}",pablo,9,5,4,7,5,1075,"{""swim_speed_up"":2.5,""ink_saver_main"":1.6,""ink_recovery_up"":1,""special_saver"":0.3,""sub_resistance_up"":0.3}",promodeler_rg,7,6,1,7,8,1601,"{""special_charge_up"":5.7}",bold,8,8,0,9,4,1078,"{""quick_respawn"":0.9,""quick_super_jump"":0.9,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",gold,Record-Score Setter,silver,#1 Tower Stopper,silver,#1 Checkpoint Breaker,
Drizzle Season 2023,2023-10-07T02:00:00+00:00,5.0.1,bankara_challenge,yagura,yagara,309,alpha,FALSE,S,,,,59,cd510aff,,,,32,6f04b6ff,,sshooter_collabo,10,10,0,7,5,1466,"{""quick_respawn"":1.9,""ink_saver_sub"":0.6,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""comeback"":true,""stealth_jump"":true}",nzap85,10,8,2,10,4,1364,"{""special_power_up"":1.3,""swim_speed_up"":1,""quick_respawn"":0.9,""special_charge_up"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""intensify_action"":0.3,""comeback"":true}",hissen_hue,10,10,0,13,3,999,"{""ink_saver_main"":2,""swim_speed_up"":1.3,""intensify_action"":0.6,""special_charge_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3}",tristringer,6,5,1,2,6,1090,"{""ink_saver_main"":3.2,""run_speed_up"":1,""special_charge_up"":0.9,""ink_saver_sub"":0.6}",bucketslosher,15,13,2,11,4,1224,"{""ink_resistance_up"":0.6,""special_saver"":0.6,""sub_resistance_up"":0.6,""swim_speed_up"":0.6,""quick_super_jump"":0.3,""comeback"":true,""ninja_squid"":true,""stealth_jump"":true}",promodeler_rg,4,3,1,4,11,2242,"{""special_charge_up"":3.3,""run_speed_up"":0.6,""ink_recovery_up"":0.3,""quick_respawn"":0.3,""quick_super_jump"":0.3,""sub_power_up"":0.3}",clashblaster,10,9,1,13,2,537,"{""ink_saver_sub"":1.3,""quick_respawn"":1,""special_power_up"":0.9,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""quick_super_jump"":0.3,""sub_power_up"":0.3,""haunt"":true}",bucketslosher,8,7,1,5,6,1370,"{""ink_saver_sub"":1.9,""special_charge_up"":1.9,""swim_speed_up"":1,""ink_saver_main"":0.3,""intensify_action"":0.3}",gold,#1 Overall Splatter,gold,#1 Score Booster,gold,Record-Score Setter,
Drizzle Season 2023,2023-10-07T04:00:00+00:00,5.0.1,xmatch,hoko,sumeshi,98,bravo,TRUE,,1845.4,1640,,0,cd510aff,,1874,,100,6e04b6ff,,sshooter,0,0,0,4,0,305,"{""swim_speed_up"":1.6,""ink_resistance_up"":0.6,""intensify_action"":0.6,""quick_super_jump"":0.6,""special_saver"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",sharp_neo,2,2,0,3,1,504,"{""ink_saver_sub"":1,""special_charge_up"":1,""swim_speed_up"":1,""special_saver"":0.9,""quick_respawn"":0.6,""ink_recovery_up"":0.3,""quick_super_jump"":0.3,""sub_power_up"":0.3,""sub_resistance_up"":0.3}",liter4k,3,3,0,2,1,339,"{""swim_speed_up"":1.6,""ink_saver_main"":1,""ink_recovery_up"":0.9,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""special_saver"":0.3,""object_shredder"":true}",spygadget,1,0,1,4,1,492,"{""run_speed_up"":2.3,""swim_speed_up"":1.9,""quick_super_jump"":0.6,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""special_charge_up"":0.3}",nzap85,7,5,2,2,1,495,"{""special_charge_up"":1,""ink_resistance_up"":0.6,""intensify_action"":0.6,""swim_speed_up"":0.6,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",sshooter,3,2,1,1,1,621,"{""swim_speed_up"":1.3,""intensify_action"":0.9,""sub_resistance_up"":0.6,""ink_resistance_up"":0.3,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",carbon_deco,5,3,2,1,1,309,"{""swim_speed_up"":2.5,""ink_resistance_up"":0.6,""quick_super_jump"":0.6,""ninja_squid"":true,""stealth_jump"":true}",splatscope,3,3,0,1,1,449,"{""special_charge_up"":1.3,""quick_respawn"":1,""special_power_up"":1,""quick_super_jump"":0.9,""ink_saver_main"":0.6,""ink_resistance_up"":0.3,""ink_saver_sub"":0.3,""sub_resistance_up"":0.3}",gold,#1 Super Jump Spot,silver,#1 Ground Traveler,silver,#1 Damage Taker,
Drizzle Season 2023,2023-10-07T04:00:00+00:00,5.0.1,xmatch,hoko,takaashi,306,bravo,FALSE,,1845.4,5040,,39,df6624ff,,4790,,67,343bc4ff,,sshooter,10,8,2,7,3,968,"{""swim_speed_up"":1.6,""ink_resistance_up"":0.6,""intensify_action"":0.6,""quick_super_jump"":0.6,""special_saver"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",wakaba,12,7,5,6,4,1748,"{""ink_saver_sub"":3.2,""special_charge_up"":1,""sub_power_up"":0.9,""ink_resistance_up"":0.3,""swim_speed_up"":0.3}",heroshooter_replica,7,7,0,10,3,1311,"{""quick_respawn"":1.6,""swim_speed_up"":0.6,""ink_resistance_up"":0.3,""intensify_action"":0.3,""quick_super_jump"":0.3,""special_saver"":0.3,""sub_resistance_up"":0.3,""comeback"":true,""stealth_jump"":true}",squiclean_a,5,5,0,6,4,1013,"{""run_speed_up"":2,""ink_resistance_up"":0.6,""ink_saver_main"":0.6,""quick_respawn"":0.3,""quick_super_jump"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3,""swim_speed_up"":0.3,""stealth_jump"":true}",52gal,12,11,1,8,3,1381,"{""special_charge_up"":1,""swim_speed_up"":1,""ink_resistance_up"":0.9,""sub_resistance_up"":0.6,""quick_super_jump"":0.3,""run_speed_up"":0.3,""special_saver"":0.3,""sub_power_up"":0.3,""stealth_jump"":true}",bamboo14mk1,8,4,4,5,5,1026,"{""swim_speed_up"":1.2,""special_charge_up"":0.9,""ink_saver_main"":0.3,""sub_power_up"":0.3,""object_shredder"":true,""tenacity"":true,""thermal_ink"":true}",sputtery_hue,9,8,1,7,4,1224,"{""quick_respawn"":1.9,""swim_speed_up"":1.9,""ink_saver_sub"":1.6,""sub_resistance_up"":0.3}",sshooter,8,6,2,7,4,1159,"{""ink_recovery_up"":1.6,""swim_speed_up"":1,""ink_resistance_up"":0.6,""ink_saver_main"":0.3,""ink_saver_sub"":0.3,""quick_super_jump"":0.3,""run_speed_up"":0.3,""sub_resistance_up"":0.3,""comeback"":true}",gold,#1 Enemy Splatter,gold,#1 Super Jump Spot,silver,#1 Rainmaker Stopper,
Drizzle Season 2023,2023-10-07T04:00:00+00:00,5.0.1,xmatch,hoko,takaashi,105,bravo,TRUE,,1845.4,1441,,0,343bc4ff,,1537,,100,df6624ff,,sshooter,3,3,0,4,0,383,"{""swim_speed_up"":1.6,""ink_resistance_up"":0.6,""intensify_action"":0.6,""quick_super_jump"":0.6,""special_saver"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",clashblaster,4,3,1,3,2,494,"{""ink_saver_sub"":2.3,""quick_respawn"":1.6,""ink_saver_main"":0.9,""ink_recovery_up"":0.3,""ink_resistance_up"":0.3,""quick_super_jump"":0.3}",splatcharger_collabo,2,2,0,5,0,240,"{""quick_super_jump"":1.9,""swim_speed_up"":1.3,""ink_saver_main"":0.9,""special_charge_up"":0.3,""special_saver"":0.3,""respawn_punisher"":true}",rapid_elite_deco,0,0,0,4,1,324,"{""intensify_action"":1.3,""quick_super_jump"":0.9,""ink_saver_main"":0.6,""ink_resistance_up"":0.3,""run_speed_up"":0.3,""sub_resistance_up"":0.3,""haunt"":true,""stealth_jump"":true}",hissen_hue,9,9,0,1,2,515,"{""special_charge_up"":2.9,""sub_resistance_up"":1.9,""special_power_up"":0.9}",sputtery_hue,3,2,1,3,0,413,"{""quick_respawn"":2.2,""ink_saver_sub"":0.6,""swim_speed_up"":0.6,""quick_super_jump"":0.3,""comeback"":true,""stealth_jump"":true}",liter4k,4,4,0,1,1,308,"{""ink_saver_main"":1.9,""ink_recovery_up"":1.3,""sub_power_up"":1.3,""quick_super_jump"":0.6,""special_power_up"":0.6}",longblaster,4,1,3,3,1,301,"{""intensify_action"":1.9,""swim_speed_up"":1.9,""ink_resistance_up"":0.3,""quick_super_jump"":0.3,""sub_resistance_up"":0.3,""object_shredder"":true}",gold,#1 Enemy Splatter,silver,#2 Overall Splatter,silver,#2 Turf Inker,
Drizzle Season 2023,2023-10-07T04:00:00+00:00,5.0.1,xmatch,hoko,sumeshi,311,alpha,FALSE,,1741.6,4798,,74,343bc4ff,,4540,,16,df6624ff,,prime_collabo,11,10,1,6,1,750,"{""swim_speed_up"":1.6,""ink_resistance_up"":0.6,""intensify_action"":0.6,""quick_super_jump"":0.6,""special_saver"":0.3,""last_ditch_effort"":true,""stealth_jump"":true}",liter4k,16,15,1,5,3,1259,"{""special_power_up"":1.3,""quick_super_jump"":1,""ink_resistance_up"":0.6,""swim_speed_up"":0.6,""ink_recovery_up"":0.3,""ink_saver_main"":0.3,""run_speed_up"":0.3,""special_charge_up"":0.3,""drop_roller"":true}",tristringer_collabo,6,5,1,5,5,1601,"{""run_speed_up"":1.3,""ink_saver_main"":1,""special_charge_up"":1,""intensify_action"":0.3,""special_saver"":0.3}",sshooter,9,9,0,8,4,1188,"{""special_charge_up"":1.2,""swim_speed_up"":1,""run_speed_up"":0.6,""sub_resistance_up"":0.6,""intensify_action"":0.3,""ninja_squid"":true,""stealth_jump"":true}",splatcharger_collabo,7,6,1,10,2,912,"{""intensify_action"":2.2,""quick_respawn"":0.9,""special_saver"":0.6,""drop_roller"":true,""thermal_ink"":true}",sshooter,10,10,0,9,5,1419,"{""swim_speed_up"":3.2,""ink_resistance_up"":0.6,""quick_respawn"":0.6,""intensify_action"":0.3,""stealth_jump"":true}",dualsweeper_custom,6,5,1,11,4,1486,"{""ink_saver_main"":2.9,""ink_recovery_up"":1.3,""quick_super_jump"":0.6,""ink_resistance_up"":0.3,""special_charge_up"":0.3,""sub_resistance_up"":0.3}",hydra,4,1,3,8,2,723,"{""run_speed_up"":4.5,""intensify_action"":0.6,""swim_speed_up"":0.6}",gold,#1 Splat Assister,silver,#2 Overall Splatter,silver,#1 Booyah Bomb User,
